# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 0.852694, 127489, 0.505671, 285124, 0.672122, 827524, 0, 0
4, 4, 10, 0.987544, 138449, 0.33138, 365599, 0.672122, 825352, 0, 0
4, 8, 10, 0.156782, 270632, 0.299365, 693260, 0.023815, 1217524, 0, 0
4, 16, 10, 5.16564e-05, 510455, 0.0738091, 1188880, 2.72544e-10, 2332222, 0, 0
4, 32, 10, 2.47884e-14, 924147, 0.0220703, 2341712, 1.92089e-14, 3525856, 0, 0
8, 2, 10, 0.674552, 97341, 0.370394, 356805, 0.672122, 808466, 0, 0
8, 4, 10, 0.327692, 159522, 0.308582, 503641, 0.023815, 1176291, 0, 0
8, 8, 10, 0.00432767, 299477, 0.0735153, 739058, 2.72544e-10, 2253861, 0, 0
8, 16, 10, 8.11906e-10, 509800, 0.0244265, 1243801, 1.92089e-14, 3645944, 0, 0
8, 32, 10, 2.51829e-14, 996566, 0.00603891, 2322705, 1.60005e-14, 5449467, 0, 0
16, 2, 10, 0.450422, 152087, 0.205286, 383651, 0.023815, 1314755, 0, 0
16, 4, 10, 0.0351239, 219837, 0.0598332, 575477, 2.72544e-10, 2474259, 0, 0
16, 8, 10, 1.91871e-05, 387963, 0.0158263, 919582, 1.92089e-14, 3710389, 0, 0
16, 16, 10, 3.65664e-14, 642947, 0.00497592, 1650028, 1.60005e-14, 5506851, 0, 0
16, 32, 10, 2.55507e-14, 1328811, 0.00122959, 2877209, 1.60005e-14, 5573049, 0, 0
32, 2, 10, 0.181036, 185482, 0.0443348, 409396, 2.72544e-10, 2382519, 0, 0
32, 4, 10, 0.00315473, 293125, 0.012215, 591829, 1.92089e-14, 3795645, 0, 0
32, 8, 10, 8.93375e-08, 494742, 0.00374604, 1114642, 1.60005e-14, 5439638, 0, 0
32, 16, 10, 2.53698e-14, 973297, 0.000838602, 1956485, 1.60005e-14, 5425970, 0, 0
32, 32, 10, 2.52324e-14, 2157844, 0.000228624, 4022079, 1.60005e-14, 5537644, 0, 0
