# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_1.mtx
# Input size: 226451 x 226451
# Format: sparse
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 10193, 13496, 47857, 60033, 30903, 38000, 115642, 15335, 12461, 73, 94, 117998, 346443
4, 4, 10422, 8419, 38370, 32005, 42779, 66141, 148830, 17029, 24505, 8, 27, 666, 240371
4, 8, 22605, 21312, 41800, 126305, 13370, 154543, 366487, 18744, 50883, 16, 51, 355, 449984
4, 16, 41575, 19075, 121033, 294297, 26159, 367148, 966776, 35622, 182859, 31, 132, 1300, 1089231
4, 32, 59368, 39576, 188578, 403000, 27454, 634759, 1482909, 23841, 253177, 61, 358, 349, 1630521
4, 64, 115181, 17861, 344850, 829985, 26274, 1252115, 2943135, 22456, 510429, 133, 1398, 682, 3121364
4, 128, 230699, 209504, 690777, 2124679, 48802, 2514209, 6328602, 22144, 963621, 277, 5171, 964, 6810847
8, 2, 20020, 6641, 36708, 14458, 18560, 61298, 107372, 16514, 11421, 4, 12, 394, 186030
8, 4, 23210, 3591, 63510, 49500, 36424, 81513, 209662, 17931, 28857, 8, 25, 532, 305101
8, 8, 27815, 12940, 117518, 57479, 25256, 151889, 371681, 18872, 62037, 18, 60, 225, 474109
8, 16, 61348, 14788, 224203, 164130, 24865, 311417, 827634, 22785, 131508, 31, 205, 337, 955617
8, 32, 116179, 19050, 470024, 501450, 25285, 637453, 1963236, 28221, 362719, 74, 610, 548, 2161613
8, 64, 240791, 187815, 788768, 1127934, 49447, 1158422, 3615272, 22200, 529016, 149, 2414, 742, 4107698
8, 128, 311757, 278002, 1234022, 2298040, 67567, 1989912, 6309207, 16723, 743414, 243, 8907, 866, 6949453
16, 2, 20382, 3937, 117168, 29887, 34102, 56203, 185782, 29339, 29585, 5, 12, 502, 321122
16, 4, 21517, 6287, 174743, 36833, 35995, 89550, 307765, 18307, 35048, 9, 32, 247, 418568
16, 8, 37861, 8998, 297377, 100627, 58277, 149329, 608735, 19723, 66800, 17, 76, 409, 739494
16, 16, 75390, 12708, 406921, 219981, 42851, 248728, 951545, 14300, 90262, 26, 204, 188, 1111559
16, 32, 145952, 125737, 812887, 563889, 82256, 466567, 2052413, 13392, 173024, 53, 883, 371, 2385011
16, 64, 364733, 272734, 1539693, 1486693, 83486, 919401, 4324141, 13881, 343225, 97, 4147, 524, 5028614
16, 128, 786285, 688905, 3176142, 4264961, 167206, 1895815, 10134378, 14357, 684906, 205, 24372, 829, 11703983
32, 2, 20065, 14345, 258171, 24963, 45333, 55756, 261949, 18499, 13942, 4, 14, 9220, 460312
32, 4, 37290, 12950, 432892, 46831, 32865, 92392, 519494, 15351, 26753, 7, 39, 446, 697816
32, 8, 73839, 54286, 792691, 113978, 48369, 178108, 1065187, 17230, 52505, 14, 136, 320, 1331476
32, 16, 154410, 142437, 1477792, 365960, 170643, 336491, 2345374, 15050, 110920, 28, 480, 978, 2775189
32, 32, 327175, 303268, 2849072, 858106, 151947, 628903, 4526163, 16256, 195297, 67, 2171, 699, 5332961
32, 64, 806470, 657176, 5602174, 2473287, 244157, 1229376, 9824156, 15260, 389072, 126, 12512, 813, 11430423
32, 128, 1675188, 2173009, 11235567, 7761073, 549045, 2488332, 22783035, 17638, 782276, 251, 79624, 1040, 26763043
