# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225
# Format: sparse
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 2431, 1150, 0, 6166, 61284, 11886, 56024, 21262, 0, 0, 84, 21005, 125268
4, 4, 3866, 1032, 0, 8929, 76907, 22960, 84716, 12677, 0, 0, 23, 276, 126670
4, 8, 4752, 1973, 0, 12658, 109128, 18185, 126159, 6470, 0, 0, 201, 273, 153640
4, 16, 71776, 7146, 0, 40832, 226974, 36235, 290221, 7501, 0, 0, 211, 429, 391104
4, 32, 68277, 19554, 0, 121890, 431305, 138618, 671644, 13569, 0, 0, 331, 318, 793862
4, 64, 159232, 60218, 0, 444483, 862214, 219931, 1511637, 9742, 0, 0, 1571, 490, 1757881
4, 128, 277873, 170909, 0, 1800452, 1845167, 463146, 4092006, 14736, 0, 0, 7310, 888, 4580481
8, 2, 11073, 1143, 0, 4235, 39287, 12298, 38359, 15160, 0, 0, 10, 486, 83692
8, 4, 12468, 2359, 0, 8131, 59674, 20381, 67999, 12152, 0, 0, 18, 233, 115416
8, 8, 31221, 5587, 0, 18929, 111508, 24298, 138862, 8403, 0, 0, 51, 284, 200281
8, 16, 53741, 16471, 0, 73641, 214377, 89123, 357915, 8750, 0, 0, 140, 279, 456522
8, 32, 102196, 58858, 0, 256755, 414679, 174031, 828399, 6478, 0, 0, 496, 367, 1013860
8, 64, 237765, 185615, 0, 1033729, 914700, 370024, 2303704, 5988, 0, 0, 2133, 622, 2750576
8, 128, 597041, 639531, 0, 3982820, 1761298, 705212, 6442848, 17803, 0, 0, 10022, 963, 7714690
16, 2, 6740, 2478, 0, 7059, 46799, 30615, 60545, 13248, 0, 0, 12, 2672, 109623
16, 4, 29231, 6398, 0, 12991, 58250, 38154, 86349, 5404, 0, 0, 26, 255, 150709
16, 8, 37245, 17423, 0, 47973, 109323, 86513, 219584, 8073, 0, 0, 81, 261, 306892
16, 16, 101866, 57133, 0, 166651, 217479, 169876, 530201, 10274, 0, 0, 275, 301, 723855
16, 32, 200933, 188220, 0, 678935, 456571, 360026, 1477150, 7692, 0, 0, 4461, 797, 1897635
16, 64, 476900, 626821, 0, 2573414, 947937, 726386, 4222661, 13309, 0, 0, 5650, 634, 5371051
16, 128, 1241352, 2233891, 0, 9279777, 1886361, 1415145, 12590287, 13149, 0, 0, 30930, 893, 16101498
32, 2, 23700, 6973, 0, 7429, 49613, 50315, 64801, 21136, 0, 0, 13, 1319, 160498
32, 4, 55355, 19360, 0, 30635, 80903, 83426, 157841, 17143, 0, 0, 44, 289, 287155
32, 8, 102886, 66254, 0, 112244, 150999, 155717, 381813, 12068, 0, 0, 181, 318, 600667
32, 16, 197829, 189849, 0, 419283, 290568, 309290, 984972, 14688, 0, 0, 640, 468, 1422615
32, 32, 451581, 642632, 0, 1668850, 596581, 616046, 2849074, 21799, 0, 0, 2715, 648, 4000852
32, 64, 1216520, 2255106, 0, 6853425, 1284507, 1384631, 9503383, 19803, 0, 0, 16320, 641, 13030953
32, 128, 2431426, 10453473, 0, 25751877, 2604334, 3097343, 31516174, 12918, 0, 0, 101371, 8235, 44460977
