# ABRIK Speed Comparison Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/input_matrices/2000x2000_rank_2000/ABRIK_test_mat2.txt
# Input size: 2000 x 2000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# RSVD p values: 0, 1, 2, 4, 8, 16, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: yes
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 4, 2, 0, 10, 8.39781e-09, 107282
ABRIK, 4, 2, 0, 10, 8.39781e-09, 63337
ABRIK, 4, 2, 0, 10, 8.39781e-09, 35957
ABRIK, 4, 4, 0, 10, 8.39781e-09, 34362
ABRIK, 4, 4, 0, 10, 8.39781e-09, 76180
ABRIK, 4, 4, 0, 10, 8.39781e-09, 39914
ABRIK, 4, 8, 0, 10, 8.39781e-09, 44961
ABRIK, 4, 8, 0, 10, 8.39781e-09, 60768
ABRIK, 4, 8, 0, 10, 8.39781e-09, 40374
ABRIK, 4, 16, 0, 10, 8.39781e-09, 50527
ABRIK, 4, 16, 0, 10, 8.39781e-09, 74860
ABRIK, 4, 16, 0, 10, 8.39781e-09, 64929
ABRIK, 4, 32, 0, 10, 8.39781e-09, 62960
ABRIK, 4, 32, 0, 10, 8.39781e-09, 64350
ABRIK, 4, 32, 0, 10, 8.39781e-09, 65453
ABRIK, 8, 2, 0, 10, 4.09712e-09, 64171
ABRIK, 8, 2, 0, 10, 4.09712e-09, 43693
ABRIK, 8, 2, 0, 10, 4.09712e-09, 56111
ABRIK, 8, 4, 0, 10, 4.09712e-09, 40055
ABRIK, 8, 4, 0, 10, 4.09712e-09, 83629
ABRIK, 8, 4, 0, 10, 4.09712e-09, 61170
ABRIK, 8, 8, 0, 10, 4.09712e-09, 88649
ABRIK, 8, 8, 0, 10, 4.09712e-09, 73276
ABRIK, 8, 8, 0, 10, 4.09712e-09, 66155
ABRIK, 8, 16, 0, 10, 4.09712e-09, 56652
ABRIK, 8, 16, 0, 10, 4.09712e-09, 49456
ABRIK, 8, 16, 0, 10, 4.09712e-09, 141418
ABRIK, 8, 32, 0, 10, 4.09712e-09, 97555
ABRIK, 8, 32, 0, 10, 4.09712e-09, 72972
ABRIK, 8, 32, 0, 10, 4.09712e-09, 117166
ABRIK, 16, 2, 0, 10, 3.74804e-09, 121301
ABRIK, 16, 2, 0, 10, 3.74804e-09, 112904
ABRIK, 16, 2, 0, 10, 3.74804e-09, 86866
ABRIK, 16, 4, 0, 10, 3.74804e-09, 177583
ABRIK, 16, 4, 0, 10, 3.74804e-09, 195093
ABRIK, 16, 4, 0, 10, 3.74804e-09, 82462
ABRIK, 16, 8, 0, 10, 3.74804e-09, 115514
ABRIK, 16, 8, 0, 10, 3.74804e-09, 42285
ABRIK, 16, 8, 0, 10, 3.74804e-09, 53322
ABRIK, 16, 16, 0, 10, 3.74804e-09, 51717
ABRIK, 16, 16, 0, 10, 3.74804e-09, 44626
ABRIK, 16, 16, 0, 10, 3.74804e-09, 45337
ABRIK, 16, 32, 0, 10, 3.74804e-09, 44935
ABRIK, 16, 32, 0, 10, 3.74804e-09, 59123
ABRIK, 16, 32, 0, 10, 3.74804e-09, 64890
ABRIK, 32, 2, 0, 10, 2.8597e-09, 59431
ABRIK, 32, 2, 0, 10, 2.8597e-09, 56211
ABRIK, 32, 2, 0, 10, 2.8597e-09, 61853
ABRIK, 32, 4, 0, 10, 2.8597e-09, 55293
ABRIK, 32, 4, 0, 10, 2.8597e-09, 59907
ABRIK, 32, 4, 0, 10, 2.8597e-09, 62075
ABRIK, 32, 8, 0, 10, 2.8597e-09, 64116
ABRIK, 32, 8, 0, 10, 2.8597e-09, 64595
ABRIK, 32, 8, 0, 10, 2.8597e-09, 65086
ABRIK, 32, 16, 0, 10, 2.8597e-09, 77529
ABRIK, 32, 16, 0, 10, 2.8597e-09, 61142
ABRIK, 32, 16, 0, 10, 2.8597e-09, 61686
ABRIK, 32, 32, 0, 10, 2.8597e-09, 55731
ABRIK, 32, 32, 0, 10, 2.8597e-09, 50011
ABRIK, 32, 32, 0, 10, 2.8597e-09, 57443
RSVD, 0, 0, 0, 10, 0.000204616, 43855
RSVD, 0, 0, 0, 10, 0.000204616, 44317
RSVD, 0, 0, 0, 10, 0.000204616, 56121
RSVD, 0, 0, 1, 10, 6.4367e-07, 38052
RSVD, 0, 0, 1, 10, 6.4367e-07, 63904
RSVD, 0, 0, 1, 10, 6.4367e-07, 31664
RSVD, 0, 0, 2, 10, 3.33456e-07, 55483
RSVD, 0, 0, 2, 10, 3.33456e-07, 64453
RSVD, 0, 0, 2, 10, 3.33456e-07, 60114
RSVD, 0, 0, 4, 10, 2.15926e-07, 61076
RSVD, 0, 0, 4, 10, 2.15926e-07, 51293
RSVD, 0, 0, 4, 10, 2.15926e-07, 58657
RSVD, 0, 0, 8, 10, 4.34409e-07, 61874
RSVD, 0, 0, 8, 10, 4.34409e-07, 42603
RSVD, 0, 0, 8, 10, 4.34409e-07, 38859
RSVD, 0, 0, 16, 10, 5.98313e-07, 83514
RSVD, 0, 0, 16, 10, 5.98313e-07, 66130
RSVD, 0, 0, 16, 10, 5.98313e-07, 72725
SVDS, 0, 0, 0, 10, 1.98417e-07, 102165
SVDS, 0, 0, 0, 10, 1.98417e-07, 100992
SVDS, 0, 0, 0, 10, 1.98417e-07, 103362
GESDD, 0, 0, 0, 10, 8.66862e-11, 678411
