# ABRIK Runtime Breakdown Benchmark
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 451, 5557, 4434, 1466, 7392, 72500, 59987, 14581, 9588, 91, 1002, 48825, 165887
4, 4, 1147, 1062, 2496, 1483, 293, 115594, 108072, 2875, 11138, 4, 14, 13979, 150085
4, 8, 2736, 1262, 1232, 1626, 730, 196929, 185006, 5238, 7707, 10, 24, 14310, 231804
4, 16, 3594, 2598, 7237, 3941, 1214, 372178, 388836, 3523, 26503, 30, 69, 14033, 434920
4, 32, 6105, 6592, 12998, 10500, 2112, 740982, 803058, 2840, 59070, 43, 270, 14701, 856213
4, 64, 11717, 9455, 48963, 33378, 4609, 1495511, 1731935, 8302, 171804, 119, 898, 14521, 1799277
8, 2, 1542, 1077, 3451, 220, 289, 72316, 53131, 8682, 2495, 3, 5, 14563, 104643
8, 4, 3669, 1230, 7716, 895, 571, 118465, 110634, 4176, 7696, 5, 13, 14874, 159310
8, 8, 3425, 1548, 17559, 2173, 896, 218790, 242752, 5758, 28654, 9, 41, 14837, 293690
8, 16, 8711, 3261, 12999, 5758, 1849, 421727, 462219, 4461, 46971, 24, 104, 14385, 520250
8, 32, 13747, 8722, 34975, 18678, 3258, 791971, 895871, 7547, 73171, 44, 421, 14769, 967303
8, 64, 11133, 26867, 65768, 69477, 7125, 1543046, 1803906, 10890, 143975, 174, 1634, 15630, 1895719
16, 2, 798, 1131, 6016, 437, 653, 86859, 67946, 9458, 1677, 3, 6, 14608, 121646
16, 4, 1211, 1339, 7785, 1225, 970, 148356, 150335, 6187, 22922, 4, 16, 15350, 205365
16, 8, 5600, 2794, 13427, 3913, 1876, 261344, 268251, 6828, 15129, 10, 48, 14822, 325791
16, 16, 9631, 8178, 28333, 13279, 3671, 540156, 585219, 19679, 37888, 47, 236, 15893, 676991
16, 32, 14456, 27521, 58865, 50945, 7752, 1046336, 1247362, 5997, 113536, 45, 877, 14965, 1341295
16, 64, 67619, 98482, 112563, 197135, 15509, 2041850, 2512212, 4341, 171375, 105, 4032, 15132, 2728143
32, 2, 1837, 1771, 10385, 623, 4056, 117108, 89911, 2523, 2683, 3, 8, 14530, 155527
32, 4, 4013, 3245, 15777, 2344, 3330, 204727, 179734, 3325, 4155, 14, 25, 14831, 255786
32, 8, 13269, 8329, 28673, 8751, 5752, 378038, 403070, 3659, 21371, 38, 108, 14050, 482038
32, 16, 16084, 27535, 59387, 39067, 12511, 727022, 832249, 2339, 35793, 74, 482, 14373, 934667
32, 32, 66372, 112487, 116724, 156734, 26045, 1415034, 1736375, 9951, 73828, 132, 1889, 14121, 1993317
32, 64, 120827, 385889, 237073, 598291, 47447, 2761497, 3782553, 4449, 166939, 300, 10574, 14241, 4347527
64, 2, 3173, 2716, 18943, 2599, 6468, 210806, 165316, 7318, 4858, 27, 48, 15613, 272569
64, 4, 9109, 7219, 27195, 9432, 10992, 355847, 320508, 8032, 8625, 44, 56, 14219, 450770
64, 8, 17488, 29170, 52004, 34906, 18697, 606582, 662061, 4700, 16420, 82, 236, 14193, 794478
64, 16, 40216, 101021, 100152, 152807, 38076, 1143918, 1417957, 5513, 53298, 167, 1151, 15922, 1652241
64, 32, 119350, 351597, 217590, 553460, 73466, 2330409, 3192745, 9554, 80821, 404, 5977, 14544, 3757172
64, 64, 226475, 1948170, 415982, 2249451, 145373, 4567049, 7531404, 6411, 190248, 976, 39575, 14562, 9804272
128, 2, 10466, 9612, 25098, 9432, 15677, 367874, 293249, 11526, 3117, 9, 47, 14973, 467831
128, 4, 20579, 32697, 45140, 38494, 28447, 627589, 597006, 7697, 11280, 46, 253, 14548, 826770
128, 8, 48646, 96332, 82443, 162681, 55180, 1190367, 1373428, 6701, 20268, 152, 932, 14225, 1677927
128, 16, 131244, 370645, 163247, 544047, 97114, 2227551, 2957666, 12760, 56441, 551, 3627, 16031, 3623258
128, 32, 237892, 2093427, 314928, 2173820, 204821, 4386319, 7050818, 8259, 84401, 698, 23005, 14559, 9542129
128, 64, 482572, 14317689, 674270, 8728380, 459825, 9012423, 19077736, 7731, 198804, 1723, 157479, 15392, 34056288
