# ABRIK Per-Triplet Accuracy Analysis
# Precision: double
# Input matrix: input_matrices/10000x10000_rank_10000/ABRIK_test_mat6.txt
# Input size: 10000 x 10000
# b_sz: 16
# num_matmuls: 64
# Total matvecs: 1024
# Singular triplets: 512
# ABRIK time (us): 2699522
# GESDD time (us): 155494792
# Residual metric: sqrt(||E_left||^2 + ||E_right||^2) where E_left = inv(s)*Av - u, E_right = v - A'u*inv(s)
# svec_diff metric: sqrt((sin^2(angle(u_g,u_a)) + sin^2(angle(v_g,v_a)))/2), sin via Householder QR
i, res_err_abrik, res_err_gesdd, sval_diff, svec_diff
59, 9.11718995384943e-07, 4.39046228751273e-15, 9.13731680139944e-13, 2.11564429940524e-06
60, 5.08287026103035e-07, 4.36923806810518e-15, 2.79409545993234e-13, 1.1498608829351e-06
61, 8.56126187222782e-07, 4.15384349257375e-15, 8.10063478451408e-13, 2.0067084399324e-06
62, 1.41580430841159e-06, 4.46901287467406e-15, 2.32181977429194e-12, 3.56768366356133e-06
63, 1.47560201155149e-06, 4.62584701459885e-15, 2.67930995173788e-12, 4.01088193763782e-06
64, 1.82297543532551e-06, 5.23501744706472e-15, 3.70787929995976e-12, 4.35391420304782e-06
65, 2.30583413846852e-06, 4.35408838794694e-15, 6.41160471088911e-12, 6.20730321169106e-06
66, 2.84639685845295e-06, 4.2887381021158e-15, 9.66698972168883e-12, 7.48518573237765e-06
67, 6.75724399351715e-06, 4.63491823930321e-15, 5.62185587054976e-11, 1.87184109502877e-05
68, 3.56091039230324e-06, 4.52449846319498e-15, 1.47345179693255e-11, 8.96892884973426e-06
69, 1.01906039802318e-05, 4.88105266220442e-15, 1.36445834319548e-10, 3.10690182758172e-05
70, 4.73725359202398e-06, 5.07803762216835e-15, 2.80034565715575e-11, 1.33230589975711e-05
71, 1.70901954916192e-05, 4.393690300444e-15, 3.71316008786718e-10, 5.06023915715873e-05
72, 2.61606052700287e-05, 4.88004354107457e-15, 9.09626880526204e-10, 8.26949130365264e-05
73, 3.40454317933045e-05, 4.89473334521213e-15, 1.63456884365565e-09, 0.000116360744149192
74, 4.22487947606856e-05, 4.46164149932342e-15, 2.38923205621885e-09, 0.000136419894395061
75, 0.00011248494783101, 4.15317356474975e-15, 1.84012532694474e-08, 0.000404046142512455
76, 0.000167056508102415, 4.43732533663351e-15, 4.14105730252841e-08, 0.000647632833084308
77, 7.90503604056016e-05, 4.5508539094904e-15, 8.59660171197688e-09, 0.000314883481816739
78, 5.07421000892129e-05, 4.09606677935072e-15, 3.67037522516036e-09, 0.000180650544839877
79, 0.000333886107276024, 4.29651444195688e-15, 1.70635695485406e-07, 0.00136713360967392
80, 0.000174888278392672, 4.35213085906949e-15, 4.51176539953873e-08, 0.000742726615939096
81, 0.000576217256589825, 4.08512157972574e-15, 5.1815989955237e-07, 0.00246506560005716
82, 5.46648459189928e-05, 4.1089163460848e-15, 3.9608867226013e-09, 0.000195511956813042
83, 0.000487764047277436, 4.39957123048855e-15, 3.75246847853928e-07, 0.00217984673373706
84, 0.000513400629213478, 4.3387844999572e-15, 4.26493234944198e-07, 0.0040373851508479
85, 0.000754436835308779, 4.04773119110255e-15, 9.15159627223576e-07, 0.00469986363088981
86, 0.000637621396728564, 4.25366500586577e-15, 6.62339445464682e-07, 0.00288942108062103
87, 0.000449047112178874, 4.79926472842137e-15, 3.34878768705578e-07, 0.00203206137759705
88, 0.0004881653131108, 4.69206033307047e-15, 4.12060540963508e-07, 0.00242444272061735
89, 0.000882017964929007, 4.28256775307889e-15, 1.15433291689108e-06, 0.00360390663584609
90, 0.000930188672859389, 4.25222540449631e-15, 1.58231705505379e-06, 0.0053032368106913
91, 0.00151231877216494, 4.08906505353498e-15, 4.14631464566118e-06, 0.0120642946500268
92, 0.00130539240363274, 4.34854119479998e-15, 2.88199403103532e-06, 0.0102212236589048
93, 0.0013801056139641, 4.49737308101849e-15, 3.6555290375671e-06, 0.0098336581381671
94, 0.00178255766502078, 4.33156715566107e-15, 6.60018902895863e-06, 0.0139404455822826
95, 0.00219253102744498, 4.24916258872168e-15, 1.05592945491833e-05, 0.0220996301094163
96, 0.00138022464652655, 4.11418408703897e-15, 4.00161341769403e-06, 0.0182435190215056
97, 0.00130386260940237, 4.35854981793762e-15, 3.27873265332894e-06, 0.015613668867226
98, 0.00282059746044485, 4.41201845514658e-15, 1.85274817893847e-05, 0.125996240355448
99, 0.00340822028317892, 4.41072763100003e-15, 2.55287900881333e-05, 0.127154088399452
100, 0.00178714034391124, 4.23115552005147e-15, 7.65014418883043e-06, 0.0176213402179209
101, 0.00150825756604525, 4.35529885133718e-15, 5.45600292031813e-06, 0.0180672532075759
102, 0.00678979188131687, 4.42735749737645e-15, 0.000125759781475745, 0.117261307342165
103, 0.00167697548355817, 4.0789850310078e-15, 6.30952165961859e-06, 0.140449362198721
104, 0.00439216203917132, 4.23553109880533e-15, 5.42754460197956e-05, 0.237210230672249
105, 0.00332492331993239, 4.06095223121433e-15, 7.60898369358353e-05, 0.535384738126207
106, 0.00380703043830012, 3.82715060412441e-15, 8.15055246488788e-05, 0.620999735846159
107, 0.00398192735618488, 4.10009843960646e-15, 0.000321710578426412, 0.931456293532524
108, 0.0195589782260626, 4.21696554254536e-15, 0.000721905601969155, 0.914853630863255
109, 0.00806402358777902, 4.23333385650778e-15, 0.000252833895202346, 0.286008906011945
110, 0.0075595769587794, 4.05053879186347e-15, 0.000134645670579132, 0.20457674048711
111, 0.00559397618589311, 4.30198340199397e-15, 0.000274323747170854, 0.808405305280465
112, 0.0132918630140658, 4.31816504792823e-15, 0.000350274400996325, 0.837797490498257
113, 0.0163053746571696, 4.23578048471728e-15, 0.00066294831788624, 0.474986773333737
114, 0.0080928044491444, 4.26967391525506e-15, 0.000554417081800307, 0.760500727022857
115, 0.00951880980623894, 4.10065174553987e-15, 0.000474949350194092, 0.991276199450606
116, 0.0249184824813092, 4.36687170928365e-15, 0.00086949239630928, 0.998538227486433
117, 0.00643360357122697, 4.08899886963139e-15, 0.000109574976035664, 0.156094523427755
118, 0.00697698683836423, 3.66070464175863e-15, 0.000122662695526583, 0.631743185735078
119, 0.00471208304525495, 4.17553732262314e-15, 0.000170339730509976, 0.850097687371434
120, 0.0134933602397076, 4.23190792632275e-15, 0.00053910046056262, 0.807929353126905
121, 0.0167679079723779, 4.13763822283067e-15, 0.000685982351676034, 0.578695695877139
122, 0.0248503144597148, 4.35272895046136e-15, 0.00230038397478305, 0.881154550022706
123, 0.00713475845642324, 4.26935214938633e-15, 0.00064999874806016, 0.867889885399268
124, 0.0123764859875447, 4.12206339224959e-15, 0.00104622526749725, 0.930068414195268
125, 0.0180590872686712, 4.26176409032762e-15, 0.00113517696136165, 0.865009413341681
126, 0.0127104787906836, 4.21104370817894e-15, 0.0012087885812327, 0.950124697363384
127, 0.0295996999939226, 4.18900754542775e-15, 0.00147230588635734, 0.846118017191068
128, 0.0322524247488612, 4.17844528731105e-15, 0.00264029097452815, 0.973162271013561
129, 0.0146707882463942, 4.40663024139892e-15, 0.00151755292370097, 0.959655579073703
130, 0.0297647831324323, 4.09794048389529e-15, 0.00165088592531015, 0.95372283946586
131, 0.0261332738733418, 4.44056817094118e-15, 0.001875803257541, 0.666265644054815
132, 0.0123776316752331, 4.0722768873404e-15, 0.000591433041161412, 0.836222832943125
133, 0.0167487808542713, 4.3176354215052e-15, 0.00225844616832397, 0.986207546572229
134, 0.019237971031926, 4.22082733756772e-15, 0.00167376717186633, 0.967084166781386
135, 0.0338208864167048, 4.36217227720439e-15, 0.00203363009197161, 0.915155304189371
136, 0.0143579967321209, 4.20023491144347e-15, 0.00183158392289047, 0.845018902267825
137, 0.0120189678200542, 4.46341691931431e-15, 0.00197680559308459, 0.925994589155734
138, 0.0229411667810392, 4.22835990363142e-15, 0.00235600154985508, 0.976039259385443
139, 0.0332376173331935, 4.16517783521188e-15, 0.0035200909158431, 0.949219703366193
140, 0.0288450755911269, 3.89321143483183e-15, 0.00338083344348733, 0.868267264090455
141, 0.0256469808169479, 4.33957265831459e-15, 0.00547938925158008, 0.999990622501037
142, 0.0236742553913832, 4.25298838671038e-15, 0.00329514428851964, 0.922830538016254
143, 0.0308972664057101, 4.2318348538927e-15, 0.0039586752148483, 0.969657946068633
144, 0.0327971377827257, 3.97508867471512e-15, 0.00473079836377204, 0.999644512583055
145, 0.0392220699420091, 4.30929596819682e-15, 0.00469060733455751, 0.912795857452688
146, 0.0167538939764755, 4.18916097083007e-15, 0.00600228819094799, 0.999800745699409
147, 0.0303384390459026, 4.30135653600824e-15, 0.00567843259147015, 0.999987738207649
148, 0.0244626850405613, 4.25441389203547e-15, 0.0037776404543125, 0.993718017171486
149, 0.0325700662319227, 4.24629495055884e-15, 0.00420583888875041, 0.929062294770947
150, 0.0377246883426134, 4.16538203599071e-15, 0.00422582640549299, 0.990014304174098
151, 0.03259069743474, 4.22169126230343e-15, 0.00476004426145516, 0.996593375791781
152, 0.031788157255287, 4.22665886199223e-15, 0.00460586128663094, 0.988470942613843
153, 0.036965676447563, 4.41397707491349e-15, 0.00664998999275138, 0.962382739681995
154, 0.0392853289781095, 3.86293313581108e-15, 0.00871913566402358, 0.998456537074795
155, 0.0318993249786711, 4.00209520361996e-15, 0.0102163684001885, 0.995459200582573
156, 0.0268580153688606, 3.89243388515899e-15, 0.0113887629241883, 0.99691573116749
157, 0.0344279940330509, 4.3412789808436e-15, 0.0143851656870408, 0.999872633145192
158, 0.0319937896767273, 4.3411991170112e-15, 0.0135312383406189, 0.987639114313369
159, 0.0494106913527228, 4.32828685297051e-15, 0.0136434981476262, 0.996834992046873
160, 0.0404041521139304, 4.01945085196175e-15, 0.0142174630614179, 0.997179791768299
161, 0.0452720594582222, 4.32558751891366e-15, 0.0111249602103808, 0.999038217115635
162, 0.0451718222193762, 4.3154880796768e-15, 0.0114567297989091, 0.997433364323281
163, 0.0547666614836278, 4.30864958256019e-15, 0.0130936089156216, 0.989942557851215
164, 0.053344337094969, 4.41242167738328e-15, 0.0162809959204396, 0.999792620598705
165, 0.0385342154322088, 4.23285333314542e-15, 0.0175366321557357, 0.993455675468182
166, 0.0385341357308968, 4.16446024575275e-15, 0.0173041864046855, 0.998964167364959
167, 0.0536491799854304, 4.12255227886226e-15, 0.0182006265401001, 0.999083227072217
168, 0.0398948823086237, 4.22888000750788e-15, 0.0178772210913718, 0.998256740411328
169, 0.0430517282684848, 4.26558792045046e-15, 0.0185995187512825, 0.994025739987127
170, 0.041748538230402, 4.36169620740256e-15, 0.0175566930540833, 0.995648614898183
171, 0.0325038548295405, 4.20033470012074e-15, 0.0204996803168857, 0.999849128120138
172, 0.0446260858531845, 3.99610118145742e-15, 0.0208038428672458, 0.998872951739923
173, 0.0360116159723646, 4.17801762681891e-15, 0.0211748845063592, 0.999749777440328
174, 0.0567782330046001, 4.30747230288295e-15, 0.0223303986857679, 0.999275094719541
175, 0.0507480434475036, 4.19470150540461e-15, 0.0204134389287545, 0.996195841788513
176, 0.0441450890717344, 4.35536764045466e-15, 0.0214872042357893, 0.999418507268642
177, 0.0432562645509207, 4.25865132519597e-15, 0.0207286241894175, 0.999940430909533
178, 0.0481011340223276, 4.12034099573361e-15, 0.0216874823328333, 0.999817357559124
179, 0.0577810641335808, 4.39595214129677e-15, 0.0216591766165794, 0.999514269270432
180, 0.0507837769675486, 4.22527428649414e-15, 0.0211150030213937, 0.999987571656622
181, 0.049994728052856, 4.24682993124913e-15, 0.0221029505127527, 0.999997730409401
182, 0.058616860566438, 4.16124513396425e-15, 0.0252775422922474, 0.999842604411705
183, 0.0558113779008049, 4.34378661175848e-15, 0.0258511344457577, 0.998946404499985
184, 0.0634355644481285, 4.35014378662439e-15, 0.0267192973641742, 0.99979643196033
185, 0.0583554881573373, 4.34406047456686e-15, 0.0287511101237902, 0.999639909025791
186, 0.0579908767561309, 4.32108578037806e-15, 0.0298287933491635, 0.999389625017651
187, 0.0507613656399106, 4.41747317110403e-15, 0.0305688544460027, 0.999679788483208
188, 0.0560621185566492, 4.40431045770558e-15, 0.0327163853486606, 0.999984534926798
189, 0.0547845110785714, 4.27035773862052e-15, 0.034256979417043, 0.999942240035651
190, 0.0512793435394536, 4.30465404935156e-15, 0.0333702569220746, 0.998799244934857
191, 0.0692901722951329, 4.27472795558549e-15, 0.0349871059709869, 0.999745764208958
192, 0.0559050890465767, 4.40021251921305e-15, 0.0358567000635427, 0.999878543903984
193, 0.0603333474891214, 4.43177620749215e-15, 0.0389908076715736, 0.999988495154595
194, 0.0789121171459085, 4.35139789987063e-15, 0.0393321495319123, 0.999996216568377
195, 0.0608473125861177, 4.25564801818946e-15, 0.0409627984032795, 0.998737341082672
196, 0.0567267021630795, 4.33650727922016e-15, 0.0430442476874414, 0.999884859967803
197, 0.0596427415818949, 4.06696684418314e-15, 0.0438070131417523, 0.999908125987211
198, 0.0732917627362701, 4.26943401315564e-15, 0.0441843653421632, 0.998677765968073
199, 0.0698109126767233, 3.95869551798025e-15, 0.0468446226515489, 0.999332569324242
200, 0.0732020897105115, 4.23167464363251e-15, 0.0497918754708433, 0.999819598505927
201, 0.0725158970690749, 4.36684609491369e-15, 0.0497392885402733, 0.998545013187416
202, 0.0649978837809208, 4.32803066323536e-15, 0.0508313642510955, 0.999335404297724
203, 0.0706729215029151, 4.29752326965147e-15, 0.0529035330712236, 0.999841027410379
204, 0.0585024368081948, 4.02756247334897e-15, 0.0547559938916404, 0.999886495982321
205, 0.0727085566857477, 4.42766488150141e-15, 0.0552418102098062, 0.99999835700704
206, 0.0678289981560991, 4.35500522268809e-15, 0.0579297032177499, 0.999927036908462
207, 0.065078642615462, 4.11866298784247e-15, 0.057611396919337, 0.999946323045
208, 0.0669824817227519, 4.33337457435557e-15, 0.0583665542466935, 0.999970828207119
209, 0.0772669105669075, 4.41223506191399e-15, 0.0614235947322849, 0.999392382556521
210, 0.083096896907406, 4.1155663904152e-15, 0.0654358841200287, 0.999979700784637
211, 0.0812849570441389, 4.07953860507505e-15, 0.0666580812361086, 0.999982910554433
212, 0.0700374732852344, 4.3392648663028e-15, 0.0678235794384438, 0.999974105613551
213, 0.082986870673623, 4.21728818740737e-15, 0.0709464758822637, 0.999947046002659
214, 0.077536648397186, 4.24113146434217e-15, 0.0711299466845359, 0.999979850406413
215, 0.0798417967921009, 4.46966668638083e-15, 0.0706335259348203, 0.99999953484535
216, 0.0836073789582792, 4.08339196105263e-15, 0.0713818553214636, 0.999939453198285
217, 0.0793582538214304, 4.37055188332383e-15, 0.0739777680436291, 0.999906454808424
218, 0.0734312441515138, 4.30800736325103e-15, 0.0733156690635067, 0.999916646295027
219, 0.0760385320349807, 4.30713657829195e-15, 0.0763788351456152, 0.999822029875397
220, 0.0780384313237637, 4.17490007203371e-15, 0.0764858777760257, 0.999448190025681
221, 0.0755034220800985, 4.44347789519722e-15, 0.0783476719140006, 0.999954087916037
222, 0.0756448855052489, 4.40524805771455e-15, 0.0786840232535103, 0.999999529894038
223, 0.0731342345981503, 4.26667114292245e-15, 0.0798673354271224, 0.999512243385215
224, 0.0771996806373611, 4.38865692246753e-15, 0.0816787909022378, 0.999952837483369
225, 0.0945221686128428, 4.81290494645208e-15, 0.0852862560996105, 0.999347053244482
226, 0.0885592146876342, 4.41178117868592e-15, 0.0891319421787618, 0.999996070360682
227, 0.0844645546752075, 4.4013573159226e-15, 0.0884999244030569, 0.999602286068178
228, 0.0857223625584908, 4.14675005485066e-15, 0.0897045647416483, 0.999930504579392
229, 0.0887673371480107, 4.63261370845088e-15, 0.0908958433078367, 0.999993535597946
230, 0.0759039732500539, 4.46885518215754e-15, 0.0944453491940391, 0.999997727844823
231, 0.0871135775832584, 4.54373468647141e-15, 0.0936467511422716, 0.999822475258033
232, 0.0822425289142147, 4.18788197155049e-15, 0.0938414417738807, 0.999963473881507
233, 0.086138964622375, 4.44501305919721e-15, 0.0936924789090333, 0.999924052322434
234, 0.0857952181469895, 4.36220912507888e-15, 0.0963333371843153, 0.999976055951821
235, 0.0758801635305656, 4.25724568824062e-15, 0.0978453548600067, 0.999997030765559
236, 0.0999631783616879, 4.35151958765636e-15, 0.0978275717388372, 0.999963152182038
237, 0.0873420006859929, 4.3835327009889e-15, 0.0989608511213827, 0.999945013185363
238, 0.0799618352468236, 4.35742550210469e-15, 0.102500635542703, 0.999998826038434
239, 0.0837125954536316, 4.42180344097234e-15, 0.103048927447443, 0.999999359484325
240, 0.0824221225671402, 4.32139741796052e-15, 0.103115012619311, 0.999886665147723
241, 0.0997389747946961, 4.3983825255385e-15, 0.110645266636647, 0.99978746366407
242, 0.0983045519138595, 4.30869787329931e-15, 0.111874186669322, 0.999969394639379
243, 0.0972517050889282, 4.77741757747284e-15, 0.114244108632497, 0.999632082789333
244, 0.098549240390773, 4.6421662897522e-15, 0.116018389329691, 0.999218635378268
245, 0.098768467889871, 4.64236824781479e-15, 0.117038638461323, 0.999964580591997
246, 0.0975095945285477, 4.36275217198068e-15, 0.119901525898413, 0.999998092551377
247, 0.102487866492672, 4.30759372271509e-15, 0.120497398288814, 0.99997695614313
248, 0.102163684130762, 4.32108716722269e-15, 0.122352270727307, 0.999954377564724
249, 0.106834722654252, 4.28909925489161e-15, 0.124367985560045, 0.999877911116783
250, 0.0991081923102822, 4.35081665046108e-15, 0.125538755056998, 0.999578892808029
251, 0.102634747755427, 4.51140938797782e-15, 0.125945940830956, 0.999891703573425
252, 0.102464787219131, 4.37793981668497e-15, 0.127206152112567, 0.999960526512704
253, 0.106822249371191, 4.25789409577353e-15, 0.12923123662808, 0.99996027866783
254, 0.0922724465678669, 4.21463488673682e-15, 0.128891687091274, 0.999980985137566
255, 0.0894630627796101, 4.29725127719866e-15, 0.133894715640142, 0.999989404638956
256, 0.0946146060381151, 3.98051399919713e-15, 0.135048501492879, 0.999993854559105
257, 0.101333596348595, 4.37862983897441e-15, 0.142236761927623, 0.999946583243825
258, 0.102429843574721, 3.95361160604483e-15, 0.144259867459681, 0.999990183702502
259, 0.102812672932456, 4.29800056441939e-15, 0.146101370150726, 0.999972826427352
260, 0.1094420813865, 4.49757814737122e-15, 0.147809370252223, 0.999970139129565
261, 0.106782222733377, 4.38250113446407e-15, 0.150323991633781, 0.99999513088809
262, 0.105734366519887, 4.46938664452141e-15, 0.150658468743122, 0.999999650710276
263, 0.113576216126269, 4.24351349451799e-15, 0.153235111417397, 0.999999423623123
264, 0.0991888978529705, 4.28056776737742e-15, 0.154235218535824, 0.99997419222379
265, 0.103684056442749, 4.40259264187848e-15, 0.155646965797647, 0.99988707518812
266, 0.113162106690549, 4.34554289593541e-15, 0.157141711665824, 0.999999399368679
267, 0.118268176933858, 4.16908857756869e-15, 0.158168271437335, 0.999961519195459
268, 0.0991901059451197, 4.44593833338451e-15, 0.158251325224993, 0.99990920206431
269, 0.114640929521162, 4.60396671818622e-15, 0.157215123703744, 0.999754674642405
270, 0.108548750887425, 4.50543483043313e-15, 0.161101233430658, 0.999983737151393
271, 0.120256710368991, 4.33899201568669e-15, 0.165896833116084, 0.999735263161482
272, 0.115533202243379, 4.38088475605951e-15, 0.165122242254227, 0.999888296425162
273, 0.127918563352616, 4.57168032315329e-15, 0.177847567292227, 0.999956713850929
274, 0.131786222065036, 4.46912224728355e-15, 0.17842986826083, 0.999962890275631
275, 0.131591912954993, 4.4785329913066e-15, 0.180207738055117, 0.999999982554682
276, 0.124659035057565, 4.65769374583834e-15, 0.180352312581093, 0.999937797692522
277, 0.119574637152419, 5.28763937209351e-15, 0.182807935117177, 0.999959873995754
278, 0.119553309554562, 4.41822874592617e-15, 0.183509458277428, 0.999992504340543
279, 0.120176648126698, 4.93857670302245e-15, 0.184454830878082, 0.999966174105866
280, 0.122416130710626, 4.29239854398185e-15, 0.186706769506747, 0.999957705278579
281, 0.116664331179389, 4.31259477768485e-15, 0.188082496194924, 0.999974463961565
282, 0.118666814168763, 4.48730409174782e-15, 0.189617794309026, 0.999975435479143
283, 0.12909123393831, 4.23519551633325e-15, 0.191443956674656, 0.999997536942259
284, 0.110130650945778, 4.37908932848318e-15, 0.192871690208132, 0.99999994393525
285, 0.118287250976866, 4.36397622084647e-15, 0.195384971712681, 0.999989842985395
286, 0.131335350141771, 4.45701934082907e-15, 0.197277279166908, 0.999984680459891
287, 0.123926319085548, 4.55879534984808e-15, 0.19794550538181, 0.999964117951803
288, 0.127691621891445, 4.85205298727165e-15, 0.198039521996324, 0.999969527939424
289, 0.139642444839763, 5.25286030693204e-15, 0.212984822139186, 0.99995229331097
290, 0.129091584793923, 4.63634768922449e-15, 0.213276439185939, 0.999958663544804
291, 0.129962494140073, 4.65279341384142e-15, 0.217163293098653, 0.999995496039274
292, 0.138102732066417, 4.5013057142749e-15, 0.217875423104826, 0.999940764168243
293, 0.128240461282291, 4.40395315527944e-15, 0.219006860695153, 0.999990070143161
294, 0.137839607200438, 4.45297011303679e-15, 0.222390540335455, 0.999996250347072
295, 0.139475576647515, 4.64803333008263e-15, 0.222750896051955, 0.999993476151766
296, 0.129363915854081, 4.70581844230058e-15, 0.224275105014903, 0.999997265564716
297, 0.142199418020198, 4.46108710526888e-15, 0.224332806689666, 0.999769650736382
298, 0.134754607306253, 4.69835857300345e-15, 0.225696455441605, 0.999998971587981
299, 0.143353514862823, 4.58072694357234e-15, 0.227604931759895, 0.999993105946798
300, 0.128087390360713, 4.18698484471026e-15, 0.227877173926952, 0.999998082570374
301, 0.144657092382586, 4.65687417240499e-15, 0.228757932773785, 0.999996833564607
