# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Target rank: 10
# Budget (total matvecs): 4096
# Block sizes: 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
method, b_sz, total_matvecs, err, elapsed_us
ABRIK, 4, 4, 1.39644, 107474
ABRIK, 4, 8, 1.07022, 191796
ABRIK, 4, 16, 1.67994, 304961
ABRIK, 4, 32, 0.976964, 584731
ABRIK, 4, 64, 0.270991, 1109034
ABRIK, 4, 128, 0.0925977, 2145261
ABRIK, 4, 256, 0.0375253, 4446863
ABRIK, 4, 512, 0.0101212, 9832854
ABRIK, 4, 1024, 0.000199626, 24881236
ABRIK, 4, 2048, 8.43428e-15, 71488908
ABRIK, 4, 4096, 8.64142e-15, 232129266
ABRIK, 8, 8, 1.98002, 184103
ABRIK, 8, 16, 1.51159, 313392
ABRIK, 8, 32, 1.54439, 548765
ABRIK, 8, 64, 0.458559, 992534
ABRIK, 8, 128, 0.152595, 1983455
ABRIK, 8, 256, 0.057304, 3996557
ABRIK, 8, 512, 0.0207185, 8293117
ABRIK, 8, 1024, 0.00286299, 18922714
ABRIK, 8, 2048, 3.3878e-09, 51375643
ABRIK, 8, 4096, 8.37532e-15, 145474494
ABRIK, 16, 16, 2.80697, 396169
ABRIK, 16, 32, 1.67363, 650675
ABRIK, 16, 64, 0.722203, 1158697
ABRIK, 16, 128, 0.289302, 2375683
ABRIK, 16, 256, 0.109664, 4517767
ABRIK, 16, 512, 0.0445065, 9456544
ABRIK, 16, 1024, 0.0103297, 20680891
ABRIK, 16, 2048, 4.03756e-05, 47038313
ABRIK, 16, 4096, 1.20228e-13, 120574339
ABRIK, 32, 32, 3.12195, 1213672
ABRIK, 32, 64, 1.66347, 1980360
ABRIK, 32, 128, 0.711041, 3495830
ABRIK, 32, 256, 0.279248, 6485354
ABRIK, 32, 512, 0.106754, 12703672
ABRIK, 32, 1024, 0.0389792, 26150206
ABRIK, 32, 2048, 0.00259693, 55902326
ABRIK, 32, 4096, 1.63986e-07, 128055448
Spectra, 0, 4, 1.6738, 358884
Spectra, 0, 8, 1.6738, 368550
Spectra, 0, 16, 1.6738, 357932
Spectra, 0, 32, 0.468584, 628042
Spectra, 0, 64, 0.126526, 1529881
Spectra, 0, 128, 0.0554115, 2919941
Spectra, 0, 256, 0.0276864, 7170877
Spectra, 0, 512, 0.00640218, 15072585
Spectra, 0, 1024, 0.00125094, 31385210
Spectra, 0, 2048, 1.41446e-11, 62166038
Spectra, 0, 4096, 2.44453e-14, 77166775
RSVD, 32, 4, 0.506091, 119078
RSVD, 32, 8, 0.7151, 222808
RSVD, 32, 16, 1.00763, 247335
RSVD, 32, 32, 1.11695, 536833
RSVD, 32, 64, 1.10755, 992899
RSVD, 32, 128, 1.09794, 1560392
RSVD, 32, 256, 1.08804, 2714478
RSVD, 32, 512, 1.0736, 5359405
RSVD, 32, 1024, 1.05199, 20424099
RSVD, 32, 2048, 1.01957, 39903449
RSVD, 32, 4096, 0.968903, 97406444
