# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_2.mtx
# Input size: 806529 x 806529
# Format: sparse
# Target rank: 10
# Budget (total matvecs): 4096
# Block sizes: 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
method, b_sz, total_matvecs, err, elapsed_us
ABRIK, 4, 4, 1.64231, 99703
ABRIK, 4, 8, 1.72597, 146611
ABRIK, 4, 16, 2.0725, 240321
ABRIK, 4, 32, 1.2235, 441473
ABRIK, 4, 64, 0.280461, 828775
ABRIK, 4, 128, 0.101184, 1749669
ABRIK, 4, 256, 0.00541602, 3544731
ABRIK, 4, 512, 3.47149e-11, 7799919
ABRIK, 4, 1024, 7.80247e-15, 18738568
ABRIK, 4, 2048, 8.08288e-15, 51177170
ABRIK, 4, 4096, 8.54203e-15, 159944650
ABRIK, 8, 8, 2.33171, 134765
ABRIK, 8, 16, 2.48785, 227103
ABRIK, 8, 32, 2.20847, 387416
ABRIK, 8, 64, 0.518179, 748969
ABRIK, 8, 128, 0.161276, 1414094
ABRIK, 8, 256, 0.0314827, 2858403
ABRIK, 8, 512, 1.2334e-05, 5923438
ABRIK, 8, 1024, 7.94174e-15, 13610312
ABRIK, 8, 2048, 8.67613e-15, 34681435
ABRIK, 8, 4096, 8.87704e-15, 100368945
ABRIK, 16, 16, 3.33991, 279172
ABRIK, 16, 32, 2.79015, 458846
ABRIK, 16, 64, 1.00438, 816157
ABRIK, 16, 128, 0.322358, 1541011
ABRIK, 16, 256, 0.0975591, 2971156
ABRIK, 16, 512, 0.00265697, 6170763
ABRIK, 16, 1024, 2.16583e-09, 13680239
ABRIK, 16, 2048, 9.09306e-15, 31472840
ABRIK, 16, 4096, 9.00129e-15, 81018045
ABRIK, 32, 32, 3.75841, 849254
ABRIK, 32, 64, 2.78772, 1342528
ABRIK, 32, 128, 0.958877, 2375913
ABRIK, 32, 256, 0.278692, 4352093
ABRIK, 32, 512, 0.0445851, 8589109
ABRIK, 32, 1024, 5.1734e-05, 17803810
ABRIK, 32, 2048, 1.84382e-14, 37980553
ABRIK, 32, 4096, 9.22056e-15, 86985453
Spectra, 0, 4, 1.75454, 236250
Spectra, 0, 8, 1.75454, 231487
Spectra, 0, 16, 1.75454, 235887
Spectra, 0, 32, 0.493919, 374186
Spectra, 0, 64, 0.137444, 1007795
Spectra, 0, 128, 0.0417084, 1878179
Spectra, 0, 256, 0.000222589, 4536014
Spectra, 0, 512, 3.7095e-13, 9891154
Spectra, 0, 1024, 1.47904e-14, 14124565
Spectra, 0, 2048, 1.47904e-14, 14287451
Spectra, 0, 4096, 1.47904e-14, 14175854
RSVD, 32, 4, 0.875855, 102111
RSVD, 32, 8, 1.23645, 111194
RSVD, 32, 16, 1.77834, 159954
RSVD, 32, 32, 1.95945, 372479
RSVD, 32, 64, 1.88849, 612988
RSVD, 32, 128, 1.83247, 1092093
RSVD, 32, 256, 1.79168, 1810777
RSVD, 32, 512, 1.69596, 3676820
RSVD, 32, 1024, 1.55309, 13674493
RSVD, 32, 2048, 1.36957, 26880327
RSVD, 32, 4096, 1.15417, 64285117
