# ABRIK Speed Comparison Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_1.mtx
# Input size: 226451 x 226451
# Format: sparse
# Target rank: 10
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 1.88193, 370124, 1.1156, 149486, 1.49291, 103018, 0, 0
4, 4, 10, 2.05381, 255688, 1.62834, 281359, 1.49291, 103412, 0, 0
4, 8, 10, 0.917971, 397899, 1.70062, 543835, 0.465014, 147490, 0, 0
4, 16, 10, 0.114303, 837488, 1.55267, 1141926, 0.00529075, 268813, 0, 0
4, 32, 10, 0.00461746, 1682000, 1.38894, 2309564, 0.0184041, 489321, 0, 0
4, 64, 10, 0.000563676, 3262540, 1.2269, 4281701, 0.000163042, 1200137, 0, 0
4, 128, 10, 7.68961e-15, 7076829, 1.02075, 9129938, 1.39422e-05, 2537371, 0, 0
8, 2, 10, 2.6854, 192495, 1.63984, 149053, 1.49291, 106901, 0, 0
8, 4, 10, 2.02876, 290413, 1.68707, 334369, 0.465014, 150944, 0, 0
8, 8, 10, 0.413453, 548782, 1.53335, 706456, 0.00529075, 266700, 0, 0
8, 16, 10, 0.0214673, 955581, 1.38373, 1401788, 0.0184041, 482591, 0, 0
8, 32, 10, 0.00288299, 1962643, 1.22078, 2629724, 0.000163042, 1198742, 0, 0
8, 64, 10, 3.58452e-11, 4457711, 1.01481, 5008181, 1.39422e-05, 2549279, 0, 0
8, 128, 10, 8.30124e-15, 7783451, 0.816709, 11079696, 8.20267e-11, 5073976, 0, 0
16, 2, 10, 2.90991, 200849, 1.67601, 207723, 0.465014, 119094, 0, 0
16, 4, 10, 0.802831, 421578, 1.50519, 377460, 0.00529075, 277621, 0, 0
16, 8, 10, 0.166093, 663612, 1.35735, 796447, 0.0184041, 477902, 0, 0
16, 16, 10, 0.00801982, 1204606, 1.20308, 1771714, 0.000163042, 1215003, 0, 0
16, 32, 10, 1.66285e-05, 2363535, 1.00477, 3532501, 1.39422e-05, 2539010, 0, 0
16, 64, 10, 9.41579e-15, 5675382, 0.808965, 8111875, 8.20267e-11, 5256812, 0, 0
16, 128, 10, 8.86879e-15, 11586139, 0.618939, 15217229, 1.1683e-14, 7412562, 0, 0
32, 2, 10, 2.623, 438839, 1.4375, 320969, 0.00529075, 269905, 0, 0
32, 4, 10, 0.662582, 758837, 1.29786, 624813, 0.0184041, 496606, 0, 0
32, 8, 10, 0.0886589, 1342007, 1.16109, 928818, 0.000163042, 1193875, 0, 0
32, 16, 10, 0.000462077, 2676134, 0.980828, 2295297, 1.39422e-05, 2564893, 0, 0
32, 32, 10, 2.38806e-11, 5475559, 0.792827, 6420180, 8.20267e-11, 5207235, 0, 0
32, 64, 10, 9.84348e-15, 11788719, 0.608906, 10705879, 1.1683e-14, 7460821, 0, 0
32, 128, 10, 1.05043e-14, 26971551, 0.449651, 22813127, 1.1683e-14, 7151430, 0, 0
