# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_1.mtx
# Input size: 226451 x 226451
# Format: sparse
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 4248, 20465, 32495, 25844, 39312, 18612, 55177, 10829, 7062, 22, 35, 67492, 226416
4, 4, 5421, 8499, 33818, 39311, 35142, 30581, 113560, 14053, 15146, 4, 12, 271, 182258
4, 8, 9787, 5165, 26133, 94313, 32416, 65561, 214490, 10497, 33278, 8, 27, 249, 277434
4, 16, 20725, 3001, 55590, 132375, 50967, 147605, 411479, 10663, 68966, 15, 51, 286, 490244
4, 32, 30951, 8276, 167259, 351927, 101329, 252760, 985593, 11125, 137331, 31, 168, 245, 1061402
4, 64, 57461, 10222, 268335, 581560, 106045, 564369, 1748186, 11572, 283230, 65, 649, 439, 1883947
4, 128, 111216, 102645, 504649, 1468836, 112776, 1126606, 3737008, 11517, 549889, 146, 2810, 713, 3991803
8, 2, 15086, 12548, 21747, 24059, 5547, 25209, 69735, 11896, 8023, 3, 5, 275, 124398
8, 4, 10763, 5065, 36273, 40851, 19134, 40697, 128403, 10617, 17786, 4, 9, 244, 181443
8, 8, 12434, 3997, 55338, 52039, 34081, 87963, 220736, 11670, 33832, 7, 24, 115, 291500
8, 16, 29029, 8314, 117806, 140069, 22761, 209546, 544213, 11211, 74250, 17, 85, 194, 613282
8, 32, 56370, 9035, 216247, 331631, 62117, 341853, 1051008, 11596, 141548, 36, 335, 348, 1171116
8, 64, 113860, 112927, 496436, 761494, 63938, 661632, 2246498, 11422, 285238, 76, 1476, 489, 2508988
8, 128, 221005, 191315, 888892, 1919877, 117600, 1380316, 4884290, 11150, 582363, 172, 7214, 743, 5320647
16, 2, 10671, 1725, 67311, 32197, 10018, 27079, 109912, 11460, 9055, 3, 9, 442, 169970
16, 4, 12125, 2631, 109094, 31947, 17872, 53997, 199977, 12041, 20517, 5, 19, 209, 260457
16, 8, 28624, 7909, 193958, 69240, 38562, 93090, 373920, 11861, 38010, 11, 53, 120, 481438
16, 16, 56292, 8722, 358671, 188422, 20431, 194027, 805810, 11141, 77038, 21, 200, 294, 915259
16, 32, 109794, 88991, 707770, 564754, 144004, 368689, 1881999, 11967, 164911, 47, 762, 376, 2162065
16, 64, 227255, 176761, 1351693, 1352836, 57654, 741776, 3795120, 12052, 319921, 88, 3664, 485, 4244185
16, 128, 436865, 462325, 2656892, 3670860, 146282, 1449500, 8544296, 11562, 639256, 178, 21279, 728, 9495727
32, 2, 12402, 13364, 219945, 29304, 36747, 39431, 224756, 11801, 10822, 3, 15, 413, 374247
32, 4, 28758, 36745, 372179, 81528, 91523, 79861, 536010, 11695, 23338, 8, 35, 256, 725926
32, 8, 55269, 58502, 673309, 101668, 34584, 131511, 894369, 11301, 45006, 16, 111, 414, 1111691
32, 16, 110431, 106063, 1237911, 219480, 83620, 250887, 1772477, 11798, 86190, 27, 405, 443, 2107255
32, 32, 230750, 189376, 2458149, 712237, 127956, 500017, 3880768, 12541, 178957, 61, 1900, 502, 4412446
32, 64, 440684, 451850, 4818810, 2167307, 219840, 987126, 8470728, 11445, 357487, 119, 10808, 637, 9466113
32, 128, 869805, 1550417, 9567179, 6893585, 573701, 1903699, 19606990, 11650, 696941, 248, 69505, 900, 22137630
