# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225
# Format: sparse
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 2361, 1751, 2704, 5667, 2352, 12846, 23626, 20766, 4613, 25, 57, 22965, 76107
4, 4, 4075, 868, 6488, 5205, 1676, 16898, 30550, 7294, 6962, 5, 15, 306, 49792
4, 8, 14337, 2373, 19876, 25708, 2711, 50981, 123454, 9608, 29428, 36, 39, 278, 155375
4, 16, 63928, 7960, 24433, 53460, 7026, 79785, 185931, 12285, 28700, 26, 106, 386, 278095
4, 32, 67489, 15940, 41756, 143425, 10077, 190998, 408067, 16279, 40405, 59, 284, 346, 527058
4, 64, 139306, 51203, 91733, 496121, 14910, 362782, 1100036, 12048, 140002, 116, 1033, 631, 1309885
4, 128, 237421, 183952, 173661, 1873361, 31816, 692628, 3049998, 13998, 282359, 226, 4117, 912, 3494451
8, 2, 11342, 1564, 9410, 1956, 4501, 11671, 22742, 5849, 6461, 2, 8, 471, 53235
8, 4, 18602, 2698, 16970, 10551, 5715, 21631, 51854, 10156, 7329, 8, 20, 319, 93999
8, 8, 28910, 6287, 38257, 31874, 6061, 42424, 141683, 11415, 31387, 15, 62, 332, 197024
8, 16, 58255, 17556, 57961, 69508, 11033, 98058, 249567, 6486, 23718, 29, 167, 303, 343074
8, 32, 106011, 50159, 127411, 289882, 20676, 217975, 714932, 7457, 70138, 62, 646, 344, 890761
8, 64, 212312, 195302, 221746, 1044845, 38191, 414594, 1813102, 9868, 101955, 183, 2250, 669, 2241915
8, 128, 608567, 642460, 468814, 4104242, 77799, 866088, 5763983, 15549, 245713, 378, 9957, 1010, 7040577
16, 2, 6869, 2371, 38337, 5856, 8543, 27197, 49578, 8798, 1400, 5, 12, 7023, 106411
16, 4, 28790, 7053, 61274, 14437, 10686, 44550, 108855, 5487, 4028, 11, 39, 259, 176614
16, 8, 36078, 18030, 112907, 47357, 21485, 93519, 257572, 9000, 7777, 36, 109, 289, 346587
16, 16, 106666, 62875, 206922, 167231, 38138, 166844, 572237, 9773, 24355, 83, 300, 378, 783565
16, 32, 206787, 183632, 379585, 598024, 71608, 328221, 1379124, 8631, 27311, 137, 1073, 493, 1805502
16, 64, 527135, 626671, 839700, 2511244, 153149, 708369, 4315098, 22764, 122074, 336, 5346, 731, 5517519
16, 128, 1304809, 2265531, 1630603, 9509165, 317303, 1510421, 13230410, 14859, 258841, 591, 27563, 968, 16840654
32, 2, 22366, 7184, 158953, 7895, 17837, 48421, 154947, 13560, 4130, 22, 32, 7609, 288009
32, 4, 58795, 21438, 253299, 28744, 28132, 80866, 325059, 15183, 11244, 42, 66, 234, 498043
32, 8, 107812, 60188, 434729, 121630, 53892, 158053, 717747, 13163, 23709, 77, 213, 363, 973829
32, 16, 202847, 178994, 888809, 436960, 105789, 322952, 1718278, 16967, 45663, 195, 747, 505, 2200428
32, 32, 447376, 641915, 1637195, 1704662, 205060, 614852, 4164715, 19889, 78006, 316, 2805, 735, 5352811
32, 64, 1325466, 2235566, 3555562, 6764991, 442342, 1397878, 12235642, 15909, 140834, 700, 14874, 6993, 15901115
32, 128, 2440389, 10558325, 6894324, 25705323, 925426, 3042968, 36880726, 14104, 301811, 1415, 87714, 8737, 49980536
