# ABRIK Per-Triplet Accuracy Analysis
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# b_sz: 4
# num_matmuls: 32
# Total matvecs: 128
# Singular triplets: 64
# ABRIK time (us): 1080295
# GESDD time (us): 168375424
# Residual metric: sqrt(||E_left||^2 + ||E_right||^2) where E_left = inv(s)*Av - u, E_right = v - A'u*inv(s)
# svec_diff metric: sqrt((sin^2(angle(u_g,u_a)) + sin^2(angle(v_g,v_a)))/2), sin via Householder QR
i, res_err_abrik, res_err_gesdd, sval_diff, svec_diff
38, 0.162348531472376, 4.63191626468591e-15, 0.000335544005191042, 0.869026344837254
39, 0.0629885025314282, 4.26970717481228e-15, 0.000224591415750538, 0.418468079762809
40, 0.11087995372523, 3.87397712596995e-15, 0.000398721192658175, 0.577872641465338
41, 0.0826798526043116, 4.73318598220055e-15, 0.000183802699611567, 0.320891080977397
42, 0.0777418571296239, 4.34622485430603e-15, 0.000713018940522208, 0.982132082983094
43, 0.159149926906606, 3.89380617829202e-15, 0.000673399314802349, 0.966472264641869
44, 0.109239530107928, 3.83922089109324e-15, 0.000326191626758489, 0.53164559316771
45, 0.157336545600048, 4.42194491193658e-15, 0.00148350341269179, 0.995236849461538
46, 0.202542921997839, 8.09353608087095e-15, 0.00159423379549031, 0.95072875777662
47, 0.187110118045287, 5.32060020741941e-15, 0.00142206504889321, 0.999456471508151
48, 0.137996013595163, 5.35192288026787e-15, 0.00204297328102436, 0.991863807264273
49, 0.201576425232594, 9.58036184767849e-15, 0.00345941321942776, 0.999858095006155
50, 0.261831931587462, 7.05077152887187e-15, 0.00338582426759031, 0.997960308433231
51, 0.265254420376216, 7.13827993667911e-15, 0.00352740006308246, 0.98727164705743
52, 0.257383491521586, 6.03454440729126e-15, 0.00411590389439225, 0.998729591886284
53, 0.519739289282696, 8.70873826235805e-15, 0.00567936987861338, 0.99757152339532
54, 0.344337488130791, 4.15947217213869e-15, 0.00603369853917158, 0.995636932539369
55, 0.426115546705825, 4.64511137811116e-15, 0.0059296644911847, 0.996330084328819
56, 0.436806458756024, 6.05467062918642e-15, 0.00591350357180395, 0.99972621882848
57, 0.718683659516728, 8.40747605803957e-15, 0.00864414417459872, 0.997466043474768
58, 0.605003640395649, 8.20532190670293e-15, 0.00848130260434349, 0.999470261891144
59, 0.719413539050997, 4.9342087021066e-15, 0.00901461276150755, 0.999999379323811
60, 0.695272495382508, 7.62668877204973e-15, 0.00892587704490062, 0.999659549489471
61, 1.35237158992771, 5.68897899134755e-15, 0.0117892019128664, 0.999617778449305
62, 1.24420794644196, 5.8331515119366e-15, 0.0117510443604297, 0.999836097714038
63, 1.41763843866769, 6.04097264532857e-15, 0.0115653179829823, 0.999999882133431
64, 1.31892610524393, 8.4753928454123e-15, 0.0117380792089007, 0.999719815243101
