# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat6.bin
# Input size: 10000 x 10000
# Format: dense
# Block sizes: 1, 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
1, 64, 3432, 24414, 209662, 12400, 2985, 1626875, 2396365, 20040, 575789, 35, 266, 18157, 2494055
1, 64, 3308, 31149, 198056, 11506, 2968, 1620684, 2362478, 397, 563668, 38, 259, 2755, 2434788
1, 64, 3296, 31035, 215592, 11064, 3023, 1620870, 2382875, 405, 566839, 30, 236, 2764, 2455154
1, 64, 3245, 24273, 192985, 9987, 3019, 1620276, 2362491, 370, 570780, 29, 233, 2812, 2428009
1, 64, 3242, 55179, 203608, 11131, 3039, 1608115, 2370644, 359, 579070, 36, 248, 2604, 2466631
4, 2, 776, 86332, 14350, 115946, 224706, 91831, 456746, 547, 13698, 26, 5, 2472, 550689
4, 2, 1070, 94205, 21472, 115944, 403560, 127803, 516155, 21021, 20556, 4, 6, 16583, 822224
4, 2, 521, 80796, 21102, 84245, 324032, 155834, 432138, 24319, 20391, 4, 6, 16723, 727973
4, 2, 677, 81314, 21156, 96291, 355629, 127499, 429576, 25187, 13684, 4, 5, 18711, 740157
4, 2, 666, 73281, 27964, 114375, 278400, 139189, 383898, 34282, 20547, 3, 6, 27878, 716591
4, 2, 613, 73636, 29566, 90022, 398573, 141887, 541899, 20909, 26750, 5, 6, 20708, 802675
4, 2, 642, 82751, 21381, 116354, 334334, 128988, 480054, 20968, 13626, 4, 6, 20472, 739526
4, 2, 617, 87566, 22050, 102548, 387749, 128397, 465666, 27176, 13565, 4, 6, 33764, 803442
4, 2, 533, 74212, 34866, 83108, 402355, 143572, 503439, 20912, 26691, 4, 6, 19710, 805969
4, 2, 623, 80723, 21755, 109939, 371414, 135200, 503967, 41042, 20465, 4, 6, 29943, 811114
4, 4, 3169, 79672, 43603, 347259, 616853, 239016, 1101126, 27584, 47823, 8, 11, 30415, 1435413
4, 4, 1322, 81987, 42695, 315350, 591497, 232732, 1057607, 27713, 41144, 6, 9, 28435, 1362890
4, 4, 1509, 77955, 56188, 328999, 565153, 210290, 1053240, 22482, 33495, 9, 15, 18038, 1314133
4, 4, 1699, 80896, 28912, 136534, 409366, 212664, 626246, 20670, 20476, 6, 10, 26888, 938121
4, 4, 1781, 73773, 42872, 343412, 583318, 207096, 1069889, 20558, 27675, 7, 22, 23871, 1324385
4, 4, 1951, 81922, 39625, 323440, 510763, 239660, 1025534, 20651, 47717, 6, 12, 24907, 1290654
4, 4, 1594, 111564, 37912, 288395, 548685, 234367, 982427, 27331, 40585, 5, 14, 20545, 1310997
4, 4, 1056, 85625, 39161, 316878, 562712, 226429, 1046602, 33956, 47452, 8, 12, 23443, 1336732
4, 4, 1408, 94780, 33001, 363698, 536123, 234333, 1029492, 20742, 27593, 7, 14, 21339, 1333038
4, 4, 1351, 73841, 36333, 283609, 559008, 252369, 1032468, 20637, 27585, 5, 10, 30903, 1285651
4, 8, 5327, 72191, 66556, 693222, 977878, 435259, 2099877, 20829, 61657, 13, 28, 20793, 2353753
4, 8, 4100, 88048, 73429, 685651, 949700, 452236, 2023985, 20796, 62366, 12, 38, 17889, 2354265
4, 8, 2688, 84823, 72235, 756527, 1063057, 426007, 2253564, 33584, 81879, 12, 28, 16376, 2537216
4, 8, 3875, 75439, 74090, 772413, 1006597, 415632, 2201083, 20574, 67631, 12, 25, 18380, 2454668
4, 8, 2246, 93418, 71056, 734243, 1118505, 442340, 2266425, 33890, 68975, 12, 27, 16335, 2581047
4, 8, 3543, 88108, 71539, 728873, 1059568, 440797, 2234442, 21053, 69591, 14, 24, 16956, 2500066
4, 8, 2544, 64738, 96747, 741348, 1049015, 431097, 2252339, 20965, 68350, 16, 23, 21475, 2496318
4, 8, 3925, 81212, 77223, 730737, 1130223, 407688, 2240405, 34731, 62572, 15, 27, 15558, 2543911
4, 8, 2419, 79958, 70715, 629972, 1139091, 425708, 2189306, 33879, 88220, 16, 33, 20434, 2490445
4, 8, 3930, 74777, 69894, 759835, 996052, 456467, 2222337, 32285, 88374, 12, 27, 17769, 2499422
4, 16, 6735, 236060, 124195, 1568194, 2075418, 849637, 4586676, 33882, 131712, 25, 1494, 23282, 5050634
4, 16, 7470, 193385, 137125, 1559967, 1956385, 859778, 4515968, 20856, 144449, 22, 81, 16179, 4895697
4, 16, 6062, 194057, 159019, 1524219, 1977713, 755397, 4425807, 20468, 144164, 34, 87, 21112, 4802332
4, 16, 6588, 206596, 104109, 1370184, 1738902, 832750, 4027958, 27647, 124025, 28, 72, 16338, 4427239
4, 16, 6354, 205821, 120809, 1584559, 1870750, 829098, 4381265, 27269, 131154, 43, 76, 34241, 4810174
4, 16, 6902, 232257, 141969, 1431138, 1736316, 837483, 4087626, 34127, 122569, 26, 79, 22453, 4565319
4, 16, 6725, 187276, 128958, 1568407, 1967740, 809992, 4469620, 20763, 129917, 40, 81, 19268, 4839167
4, 16, 7083, 237346, 134162, 1612691, 2025757, 785236, 4522330, 20895, 126270, 23, 70, 16384, 4965917
4, 16, 6215, 227263, 142471, 1650678, 1966804, 813202, 4517105, 20968, 124496, 48, 75, 15913, 4968133
4, 16, 6151, 178717, 142240, 1566112, 1900495, 840125, 4456255, 20636, 141977, 24, 79, 13898, 4810454
4, 32, 6290, 534959, 272543, 3096275, 3646075, 1607929, 8738643, 14587, 245314, 52, 295, 22900, 9447219
4, 32, 10824, 562790, 281865, 3261303, 3779957, 1732348, 9156027, 20986, 254525, 50, 243, 16274, 9921165
4, 32, 9053, 504937, 282064, 3145096, 3991654, 1567400, 9099949, 20895, 294865, 66, 231, 16210, 9832471
4, 32, 9552, 528949, 256168, 3159139, 3695364, 1577328, 8801626, 28067, 241415, 45, 220, 16586, 9512833
4, 32, 9089, 624385, 261897, 3184507, 3766263, 1603505, 8867876, 20715, 259483, 58, 212, 19620, 9749734
4, 32, 9221, 550210, 249774, 3339376, 3810895, 1593338, 9142156, 20773, 284353, 48, 219, 22747, 9880954
4, 32, 8833, 573044, 260483, 3307394, 3693073, 1607811, 8940221, 20722, 232338, 68, 232, 15941, 9719939
4, 32, 8730, 555295, 238795, 3249727, 3861547, 1579967, 8993154, 21447, 252705, 84, 217, 16489, 9785003
4, 32, 8709, 604826, 269179, 3122735, 3772976, 1658419, 8896943, 21144, 208659, 76, 223, 15875, 9682821
4, 32, 9149, 533928, 276361, 3268510, 3747407, 1580125, 8944024, 27492, 266044, 57, 231, 16773, 9726077
4, 64, 9117, 295831, 505730, 6552435, 7484211, 3176146, 18000020, 28269, 474025, 109, 825, 23366, 18550064
4, 64, 8778, 1130437, 524898, 6337853, 7368334, 3130818, 17738246, 20647, 485135, 93, 936, 17417, 19025346
4, 64, 5824, 680681, 547672, 6523001, 7673313, 3091126, 18151195, 14179, 483630, 109, 905, 29798, 19050238
4, 64, 9321, 1255681, 489633, 6386628, 7380515, 3175953, 17766047, 20907, 486217, 98, 970, 17102, 19223025
4, 64, 8498, 1107673, 514432, 6297094, 7174197, 3125998, 17451086, 27405, 473425, 97, 892, 16616, 18746327
4, 64, 9557, 1009004, 518487, 6589271, 7310468, 3120373, 17879158, 35075, 516574, 100, 862, 30056, 19139827
4, 64, 8785, 509658, 506145, 6255143, 7218778, 3065465, 17375075, 20796, 463754, 120, 1011, 23077, 18072732
4, 64, 8841, 1204577, 529662, 6431394, 7527589, 3148628, 17987900, 20883, 491103, 129, 859, 16354, 19380019
4, 64, 8532, 1174541, 477024, 6613083, 7435042, 3250496, 18070424, 14848, 457169, 102, 954, 30555, 19462346
4, 64, 8421, 450347, 552347, 6654969, 7520057, 3074479, 18181232, 27918, 517798, 112, 1091, 37513, 18845052
8, 2, 2463, 92986, 34860, 109705, 653483, 113930, 650395, 34357, 13833, 4, 7, 16352, 1071980
8, 2, 2604, 102477, 28876, 96440, 681218, 121290, 659722, 45250, 22771, 4, 6, 16074, 1117010
8, 2, 1382, 82280, 28897, 102802, 662107, 127859, 681250, 34226, 14037, 3, 5, 20867, 1074465
8, 2, 1838, 67615, 22119, 95487, 691300, 137791, 714248, 20757, 14005, 4, 6, 23092, 1074014
8, 2, 2252, 87922, 28794, 96867, 686396, 121841, 677414, 20675, 14112, 5, 9, 23151, 1082024
8, 2, 1841, 81899, 22407, 103195, 665989, 135622, 623446, 23330, 14055, 4, 6, 29784, 1078132
8, 2, 2055, 80709, 22691, 97295, 678596, 150321, 691092, 27921, 14416, 5, 11, 23156, 1097176
8, 2, 1861, 95105, 29014, 101972, 627280, 137566, 669979, 21904, 20525, 4, 6, 18295, 1053532
8, 2, 1777, 98875, 21717, 82281, 643298, 139017, 661387, 27460, 14079, 5, 6, 23012, 1051527
8, 2, 1338, 74719, 8354, 102942, 371549, 143612, 513186, 20786, 96, 5, 6, 30095, 753502
8, 4, 4106, 120329, 43887, 335476, 1010380, 242980, 1401609, 20913, 27109, 8, 14, 29542, 1834744
8, 4, 3559, 109026, 43820, 339975, 1103433, 239581, 1477598, 27239, 27536, 7, 16, 16860, 1911052
8, 4, 3611, 125327, 37073, 303584, 1075677, 231976, 1451283, 20875, 27403, 10, 14, 18272, 1843822
8, 4, 2856, 121935, 56778, 330491, 1168475, 229633, 1518684, 24297, 27649, 8, 15, 15800, 1977937
8, 4, 2702, 136056, 40984, 320308, 1093613, 228802, 1458831, 27301, 40928, 6, 14, 15788, 1906502
8, 4, 3343, 108972, 50087, 298022, 1108779, 249039, 1479566, 21438, 34082, 7, 17, 22612, 1896398
8, 4, 2975, 116285, 39677, 326269, 1053118, 233846, 1441965, 27413, 27851, 8, 19, 15872, 1843333
8, 4, 2706, 116289, 36874, 342837, 959711, 267590, 1395834, 27691, 27852, 7, 16, 22451, 1804024
8, 4, 2985, 122216, 43818, 317489, 1042885, 246996, 1418100, 33722, 40846, 9, 13, 26217, 1877196
8, 4, 3070, 108973, 31384, 330182, 1048777, 250693, 1432539, 27857, 27888, 8, 16, 23030, 1851878
8, 8, 8326, 236408, 73087, 739977, 1859152, 408480, 2880711, 27473, 50080, 15, 46, 16236, 3419280
8, 8, 5390, 221731, 66912, 775847, 1862521, 430800, 2940760, 21334, 55223, 11, 40, 16372, 3456181
8, 8, 5464, 244886, 70745, 660263, 1940668, 422400, 2834887, 21294, 54591, 14, 37, 21900, 3442262
8, 8, 4534, 237126, 79571, 763693, 1974512, 416233, 3060314, 20948, 68336, 16, 42, 16441, 3581452
8, 8, 4592, 211272, 72839, 696203, 1984749, 425157, 2975317, 27436, 69066, 13, 39, 15788, 3507154
8, 8, 4511, 202209, 75621, 794417, 1923506, 440931, 3047165, 27617, 54264, 14, 38, 16246, 3539374
8, 8, 5037, 249320, 66798, 762747, 1906207, 438864, 3088878, 27639, 61662, 14, 39, 15931, 3534258
8, 8, 4808, 230335, 67612, 705417, 1951815, 426451, 2969284, 20795, 61638, 16, 35, 16956, 3485878
8, 8, 4845, 206318, 73739, 784107, 1802718, 414095, 2926104, 20908, 68903, 16, 36, 16875, 3392560
8, 8, 4856, 240449, 73953, 663207, 1826869, 423831, 2818288, 21140, 55210, 13, 42, 16760, 3326330
8, 16, 12862, 636411, 152780, 1560123, 3643472, 841394, 6125280, 27280, 146567, 27, 147, 16512, 7037575
8, 16, 7880, 595550, 139098, 1624638, 3689743, 832048, 6190949, 20684, 145267, 33, 157, 22525, 7077623
8, 16, 7600, 598573, 143970, 1622459, 3724944, 834480, 6142384, 27485, 135792, 24, 125, 19356, 7114808
8, 16, 7586, 587898, 111860, 1531726, 3349555, 862401, 5844309, 21461, 113960, 29, 120, 23366, 6609962
8, 16, 7655, 563066, 145370, 1584692, 3758368, 812278, 6118134, 28076, 110649, 26, 1412, 23256, 7034848
8, 16, 7483, 545129, 158975, 1529972, 3571144, 820800, 5966391, 27386, 136870, 33, 126, 19094, 6817012
8, 16, 7560, 658282, 138685, 1499451, 3681741, 844820, 6049171, 27998, 141653, 31, 212, 17013, 7017446
8, 16, 7553, 586225, 140640, 1573561, 3677325, 850163, 6160823, 48129, 144775, 25, 191, 23646, 7052233
8, 16, 7367, 562270, 140790, 1631338, 3382878, 812765, 5873542, 13976, 125237, 27, 135, 29191, 6705974
8, 16, 7508, 469752, 132048, 1523022, 3113358, 789781, 5430550, 20880, 103486, 28, 115, 28219, 6188197
8, 32, 9030, 411093, 263383, 3126177, 6886586, 1617065, 11909897, 34121, 260350, 57, 488, 22817, 12631167
8, 32, 13711, 1225453, 297453, 3095780, 7099114, 1635377, 12128063, 20631, 244032, 63, 407, 29635, 13661656
8, 32, 22135, 810358, 274989, 3296059, 6941120, 1600850, 12157440, 20570, 261767, 63, 438, 16328, 13244677
8, 32, 19257, 1240003, 269466, 3314666, 7364547, 1598987, 12585034, 14372, 259302, 61, 442, 29152, 14110255
8, 32, 19299, 587169, 279549, 3320675, 6939374, 1579996, 12072466, 20625, 261139, 58, 427, 16787, 13025098
8, 32, 17510, 664771, 246462, 2973214, 6572580, 1535924, 11321601, 20383, 212720, 61, 483, 24045, 12268153
8, 32, 20783, 1149428, 300897, 3083918, 6890023, 1609676, 11798222, 20957, 233836, 59, 478, 17197, 13327252
