# ABRIK Speed Comparison Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat6.txt
# Input size: 10000 x 10000
# Format: dense
# Target rank: 10
# Block sizes: 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 1.23994, 91318, 1.05946, 96040, 1.5249, 850275, 0, 0
4, 4, 10, 1.96503, 137150, 1.52013, 182167, 1.5249, 826809, 0, 0
4, 8, 10, 0.932561, 260290, 1.63227, 412241, 0.467861, 1205987, 0, 0
4, 16, 10, 0.259895, 472583, 1.59968, 847716, 0.0813092, 2257508, 0, 0
4, 32, 10, 0.0153085, 842414, 1.48789, 1565799, 0.00108627, 3853560, 0, 0
4, 64, 10, 1.51201e-07, 1675166, 1.3343, 3271101, 1.80837e-11, 8216950, 0, 0
8, 2, 10, 1.81738, 100460, 1.52217, 106613, 1.5249, 847232, 0, 0
8, 4, 10, 1.80935, 162243, 1.62839, 208766, 0.467861, 1202720, 0, 0
8, 8, 10, 0.46997, 269750, 1.59531, 456954, 0.0813092, 2340181, 0, 0
8, 16, 10, 0.0827021, 521555, 1.48236, 847453, 0.00108627, 3945582, 0, 0
8, 32, 10, 0.000200011, 1013209, 1.32978, 1755641, 1.80837e-11, 8109635, 0, 0
8, 64, 10, 1.10122e-12, 1822787, 1.13373, 3450713, 8.4027e-15, 14950995, 0, 0
16, 2, 10, 2.06472, 126317, 1.60768, 139297, 0.467861, 1193055, 0, 0
16, 4, 10, 1.00405, 187515, 1.56845, 269656, 0.0813092, 2324182, 0, 0
16, 8, 10, 0.229196, 347160, 1.46706, 593687, 0.00108627, 3866914, 0, 0
16, 16, 10, 0.0141504, 627904, 1.31829, 1131588, 1.80837e-11, 8140676, 0, 0
16, 32, 10, 1.66973e-06, 1243669, 1.12429, 2302209, 8.4027e-15, 15370109, 0, 0
16, 64, 10, 8.01872e-15, 2590346, 0.89565, 4844874, 8.4027e-15, 15029283, 0, 0
32, 2, 10, 2.08195, 157717, 1.52883, 160016, 0.0813092, 2275776, 0, 0
32, 4, 10, 0.839494, 260960, 1.42409, 367139, 0.00108627, 3869616, 0, 0
32, 8, 10, 0.150257, 465827, 1.28881, 724955, 1.80837e-11, 8149391, 0, 0
32, 16, 10, 0.00182214, 921278, 1.10175, 1574423, 8.4027e-15, 15180623, 0, 0
32, 32, 10, 1.08007e-08, 1934813, 0.882623, 3398708, 8.4027e-15, 15109620, 0, 0
32, 64, 10, 7.84469e-15, 4687325, 0.630246, 7275544, 8.4027e-15, 15180555, 0, 0
64, 2, 10, 2.00931, 246803, 1.3542, 301077, 0.00108627, 3894492, 0, 0
64, 4, 10, 0.682321, 434033, 1.24133, 598106, 1.80837e-11, 8224757, 0, 0
64, 8, 10, 0.0683993, 781675, 1.06927, 1295045, 8.4027e-15, 15004901, 0, 0
64, 16, 10, 0.000165147, 1646960, 0.86362, 2807509, 8.4027e-15, 14929181, 0, 0
64, 32, 10, 6.96583e-11, 3784728, 0.618616, 6190120, 8.4027e-15, 15342516, 0, 0
64, 64, 10, 9.51937e-15, 9636884, 0.376384, 15403195, 8.4027e-15, 15153856, 0, 0
128, 2, 10, 1.82366, 481724, 1.12823, 547234, 1.80837e-11, 8204929, 0, 0
128, 4, 10, 0.491121, 798101, 0.992808, 1134073, 8.4027e-15, 15302564, 0, 0
128, 8, 10, 0.0250091, 1537634, 0.811442, 2549454, 8.4027e-15, 15210127, 0, 0
128, 16, 10, 1.49478e-05, 3428864, 0.588285, 5599654, 8.4027e-15, 15302749, 0, 0
128, 32, 10, 3.22314e-13, 9010171, 0.360503, 14096243, 8.4027e-15, 15419964, 0, 0
128, 64, 10, 9.81375e-15, 32321139, 0.142655, 49781438, 8.4027e-15, 15249051, 0, 0
