# ABRIK Per-Triplet Accuracy Analysis
# Precision: double
# Input matrix: input_matrices/10000x10000_rank_10000/ABRIK_test_mat1.txt
# Input size: 10000 x 10000
# b_sz: 4
# num_matmuls: 32
# Total matvecs: 128
# Singular triplets: 64
# ABRIK time (us): 887704
# GESDD time (us): 152132243
# Residual metric: sqrt(||E_left||^2 + ||E_right||^2) where E_left = inv(s)*Av - u, E_right = v - A'u*inv(s)
# svec_diff metric: sqrt((sin^2(angle(u_g,u_a)) + sin^2(angle(v_g,v_a)))/2), sin via Householder QR
i, res_err_abrik, res_err_gesdd, sval_diff, svec_diff
1, 1.07522242333554e-14, 1.0412046560088e-14, 2.22044604925031e-16, 2.12578116371221e-14
2, 2.13738928652594e-14, 1.99199502657055e-14, 6.66133814775094e-16, 2.15155847115196e-14
3, 3.36130459870339e-15, 2.97856922791949e-15, 3.33066907387547e-16, 1.07067599029354e-15
4, 3.57988603072793e-15, 3.6749421421637e-15, 1.77635683940025e-15, 1.47062258091656e-15
5, 3.04422791928035e-15, 3.16603978593565e-15, 8.32667268468867e-16, 1.14635900643768e-15
6, 3.61522690905883e-15, 3.87755718261715e-15, 0, 2.49116496494715e-15
7, 3.23717791161041e-15, 3.7307825026629e-15, 0, 3.55314615445708e-15
8, 4.81362768371815e-15, 3.44981091764611e-15, 4.44089209850062e-16, 1.10556102846412e-14
9, 5.28026061170402e-15, 3.64861112328539e-15, 8.7430063189231e-16, 9.98687962758736e-15
10, 3.50055602346364e-15, 3.61365507623031e-15, 2.77555756156289e-16, 6.81371140082528e-15
11, 3.59544468588934e-15, 3.75774980136671e-15, 3.05311331771918e-16, 1.43396308648814e-14
12, 7.59053740010775e-15, 4.28771588457683e-15, 1.66533453693773e-16, 1.67670613045024e-14
13, 1.57833208261063e-13, 3.8678974382273e-15, 1.62370117351429e-15, 1.20799427606485e-13
14, 3.96594807397777e-12, 3.80775234067919e-15, 5.82867087928207e-16, 3.07235612030009e-12
15, 1.79805522516963e-11, 3.44192762213994e-15, 8.32667268468867e-16, 1.38981273159343e-11
16, 2.17247915478493e-11, 4.12304106720503e-15, 8.88178419700126e-16, 1.76617902807198e-11
17, 2.02929540877106e-10, 4.41147879733405e-15, 7.07767178198537e-16, 1.67764478433033e-10
18, 2.04460823389724e-09, 4.17192274239206e-15, 2.4980018054066e-16, 1.63919972101376e-09
19, 3.55043697707611e-09, 5.24548838281664e-15, 1.31838984174237e-16, 2.99591918362186e-09
20, 4.33917860147701e-09, 5.83166080806883e-15, 6.93889390390722e-16, 3.94060681941107e-09
21, 1.27731051590532e-07, 4.4857749011114e-15, 1.00544572667616e-14, 1.11548766468659e-07
