# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Block sizes: 1, 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
1, 64, 88213, 6260, 10457, 1414391, 54183, 663741, 2132298, 35543, 6439, 17, 158, 881, 2280283
1, 64, 87863, 7366, 10413, 1412893, 29980, 662984, 2105958, 35501, 6352, 17, 164, 924, 2254457
1, 64, 88196, 6203, 10359, 1411696, 29264, 662417, 2103286, 35424, 6327, 18, 148, 941, 2250993
1, 64, 87944, 6220, 10175, 1412144, 29473, 661427, 2102821, 35446, 6397, 16, 151, 971, 2250364
1, 64, 88154, 6236, 10498, 1413992, 28999, 654355, 2097899, 35576, 6437, 19, 150, 916, 2245332
1, 64, 87951, 6190, 10371, 1412476, 29395, 658499, 2100373, 35577, 6295, 18, 148, 900, 2247820
1, 128, 173221, 66691, 21004, 5413736, 87380, 1189601, 6708331, 35510, 13169, 39, 578, 1195, 7002124
1, 128, 171541, 83659, 32867, 5370635, 103487, 1189138, 6705950, 35683, 26252, 47, 541, 1176, 7015026
1, 128, 172200, 79174, 76653, 5396678, 195465, 1218939, 6862241, 48616, 40945, 38, 529, 7606, 7236843
1, 128, 170921, 62273, 19210, 5346879, 60394, 1190871, 6613919, 35822, 13152, 52, 536, 1242, 6901352
1, 128, 174640, 61886, 21171, 5441090, 65427, 1194860, 6719520, 35937, 13852, 37, 544, 1295, 7010739
1, 128, 173459, 62541, 388741, 5461611, 779477, 1347005, 8144734, 35618, 184868, 85, 579, 1156, 8435140
1, 128, 171736, 78208, 212596, 5403681, 391666, 1298061, 7395922, 35594, 106851, 83, 548, 1179, 7700203
1, 128, 174602, 61718, 166591, 5431859, 358977, 1282756, 7301967, 35690, 78722, 67, 571, 1148, 7592701
1, 128, 172442, 66434, 20105, 5432424, 71462, 1192880, 6713496, 35680, 13254, 48, 541, 1174, 7006444
