# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_2.mtx
# Input size: 806529 x 806529
# Format: sparse
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 4891, 9037, 33365, 17281, 30557, 43611, 92751, 20200, 7625, 26, 45, 34548, 201186
4, 4, 15474, 986, 56438, 39150, 24688, 64524, 154678, 20043, 12606, 4, 14, 4234, 238161
4, 8, 26877, 3284, 117911, 122613, 18019, 122209, 376339, 20421, 31808, 8, 35, 414, 463599
4, 16, 50958, 6354, 222335, 198851, 123117, 227997, 781987, 19291, 61807, 18, 70, 422, 911220
4, 32, 96876, 34657, 411806, 425304, 134439, 424235, 1450307, 19259, 123017, 272, 220, 531, 1670616
4, 64, 190544, 20186, 774832, 939342, 37475, 870716, 2855766, 20783, 275579, 73, 776, 4394, 3134700
4, 128, 380792, 230140, 1476656, 2266879, 72383, 1680674, 6018506, 19376, 542567, 158, 3045, 910, 6673580
8, 2, 14068, 1116, 64993, 31944, 33442, 50012, 123850, 19990, 7832, 3, 10, 489, 223899
8, 4, 26471, 3740, 140275, 21905, 16525, 88957, 236866, 19856, 20903, 4, 17, 474, 339127
8, 8, 49394, 18731, 282857, 85979, 118255, 140375, 605631, 22306, 31896, 10, 36, 444, 750283
8, 16, 97501, 15449, 450246, 171516, 23179, 298561, 977170, 23226, 86227, 17, 114, 4249, 1170285
8, 32, 193722, 20257, 893695, 430504, 32805, 541134, 1977854, 19997, 138410, 39, 391, 580, 2271534
8, 64, 395256, 169048, 1891827, 1195482, 51000, 1046039, 4383187, 20073, 253492, 76, 1574, 767, 5024634
8, 128, 773564, 426440, 3345363, 4143251, 189658, 2219667, 10430346, 22080, 587258, 154, 7479, 967, 11715881
16, 2, 25995, 4048, 268323, 30722, 30200, 67801, 258261, 19774, 7750, 3, 12, 562, 455190
16, 4, 49553, 6701, 390581, 58911, 15908, 113902, 486067, 19475, 16445, 6, 27, 527, 672036
16, 8, 96861, 17320, 745974, 115364, 15603, 212463, 1022419, 20888, 39507, 12, 71, 557, 1264620
16, 16, 191519, 21447, 1413214, 331849, 44688, 404777, 2157463, 21523, 87309, 23, 226, 578, 2517153
16, 32, 389240, 172796, 2811879, 872493, 81162, 790534, 4585684, 21576, 166856, 47, 831, 642, 5308056
16, 64, 781315, 489678, 5662670, 3196392, 92706, 1516150, 10665769, 20846, 302329, 91, 3803, 793, 12066773
16, 128, 1560631, 1171834, 11280664, 10169729, 221970, 3029860, 25197821, 20933, 604745, 194, 22079, 1028, 28083667
32, 2, 50232, 7547, 977138, 36827, 45619, 107267, 799490, 20253, 10093, 4, 15, 662, 1255657
32, 4, 98441, 25849, 1613808, 81978, 117751, 182899, 1591835, 19987, 19884, 11, 41, 622, 2161271
32, 8, 193520, 22078, 2928726, 190021, 105472, 332636, 3231890, 20160, 41045, 17, 126, 612, 3834413
32, 16, 393262, 155919, 5558940, 544598, 200243, 635515, 6647644, 20111, 83889, 32, 447, 684, 7593640
32, 32, 775671, 377807, 10797204, 1968556, 383083, 1253828, 14215532, 21293, 178910, 296, 1996, 806, 15759450
32, 64, 1547914, 1135633, 21188306, 6504860, 814770, 2447195, 30894691, 21170, 354601, 137, 11241, 896, 34026723
32, 128, 3056508, 4087827, 42164801, 22001141, 1648504, 4886534, 71111500, 20996, 714643, 275, 72210, 1227, 78654666
