# ABRIK Speed Comparison Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225
# Format: sparse
# Target rank: 10
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 
# Tolerance: 4.94851e-14
# Run GESDD: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
b_sz, num_matmuls, target_rank, err_ABRIK, dur_ABRIK, err_RSVD, dur_RSVD, err_SVDS, dur_SVDS, err_SVD, dur_SVD
4, 2, 10, 1.74061, 71364, 1.02433, 33608, 1.42859, 37048, 0, 0
4, 4, 10, 2.00049, 84542, 1.48576, 84775, 1.42859, 33654, 0, 0
4, 8, 10, 0.878328, 160047, 1.58303, 201499, 0.4765, 60332, 0, 0
4, 16, 10, 0.112283, 312691, 1.44251, 359268, 0.00405987, 155596, 0, 0
4, 32, 10, 0.00638001, 650383, 1.27662, 782194, 0.0230708, 248144, 0, 0
4, 64, 10, 0.000338409, 1891751, 1.09807, 2049400, 9.71863e-05, 760595, 0, 0
4, 128, 10, 2.12308e-14, 4241678, 0.90848, 4376903, 4.88093e-05, 1389735, 0, 0
8, 2, 10, 2.52974, 64160, 1.49446, 29010, 1.42859, 39296, 0, 0
8, 4, 10, 1.87037, 106437, 1.56405, 100032, 0.4765, 73989, 0, 0
8, 8, 10, 0.386192, 187438, 1.42249, 229348, 0.00405987, 150287, 0, 0
8, 16, 10, 0.0202514, 428961, 1.26516, 543741, 0.0230708, 299773, 0, 0
8, 32, 10, 0.00498273, 1028627, 1.09145, 1019525, 9.71863e-05, 665531, 0, 0
8, 64, 10, 3.72491e-11, 2705546, 0.901896, 3089447, 4.88093e-05, 1390081, 0, 0
8, 128, 10, 1.60881e-14, 7666366, 0.708659, 10593461, 3.46934e-12, 3230781, 0, 0
16, 2, 10, 2.65638, 101413, 1.52673, 85965, 0.4765, 132353, 0, 0
16, 4, 10, 0.745199, 176043, 1.40471, 227060, 0.00405987, 225275, 0, 0
16, 8, 10, 0.175924, 348986, 1.24097, 454031, 0.0230708, 286986, 0, 0
16, 16, 10, 0.00665951, 792100, 1.07493, 924807, 9.71863e-05, 703942, 0, 0
16, 32, 10, 1.28634e-05, 1892542, 0.891747, 2339996, 4.88093e-05, 1417904, 0, 0
16, 64, 10, 9.00506e-15, 5345589, 0.701907, 8216406, 3.46934e-12, 3155312, 0, 0
16, 128, 10, 1.07527e-14, 16799389, 0.530583, 24191015, 1.10841e-14, 3955459, 0, 0
32, 2, 10, 2.45886, 157882, 1.32778, 202897, 0.00405987, 246697, 0, 0
32, 4, 10, 0.617645, 320205, 1.17687, 334042, 0.0230708, 372099, 0, 0
32, 8, 10, 0.087205, 658975, 1.0245, 795375, 9.71863e-05, 767024, 0, 0
32, 16, 10, 0.000337401, 1594546, 0.863108, 2150032, 4.88093e-05, 1687389, 0, 0
32, 32, 10, 1.23068e-11, 4341133, 0.684037, 6698611, 3.46934e-12, 2820992, 0, 0
32, 64, 10, 1.01518e-14, 13209249, 0.518267, 19562148, 1.10841e-14, 4515927, 0, 0
32, 128, 10, 1.13042e-14, 46393629, 0.372833, 70815611, 1.10841e-14, 4422304, 0, 0
