# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat1.bin
# Input size: 10000 x 10000
# Format: dense
# Target rank: 10
# Budget (total matvecs): 4096
# Block sizes: 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
method, b_sz, total_matvecs, err, elapsed_us
ABRIK, 4, 4, 1.21559, 88742
ABRIK, 4, 8, 0.777446, 161957
ABRIK, 4, 16, 1.53385, 313542
ABRIK, 4, 32, 0.187535, 514334
ABRIK, 4, 64, 7.25432e-05, 834118
ABRIK, 4, 128, 9.25341e-14, 1406863
ABRIK, 4, 256, 9.29821e-14, 2881486
ABRIK, 4, 512, 9.33656e-14, 5322523
ABRIK, 4, 1024, 9.33622e-14, 10210095
ABRIK, 4, 2048, 9.30664e-14, 21054285
ABRIK, 4, 4096, 9.30955e-14, 41972112
ABRIK, 8, 8, 3.28229, 80315
ABRIK, 8, 16, 1.6675, 114759
ABRIK, 8, 32, 0.533627, 183462
ABRIK, 8, 64, 0.00808675, 312957
ABRIK, 8, 128, 2.36144e-09, 617568
ABRIK, 8, 256, 9.39016e-14, 1119110
ABRIK, 8, 512, 9.36293e-14, 2336701
ABRIK, 8, 1024, 9.35409e-14, 4406861
ABRIK, 8, 2048, 9.40882e-14, 8821697
ABRIK, 8, 4096, 9.40347e-14, 17810578
ABRIK, 16, 16, 6.94003, 107902
ABRIK, 16, 32, 0.724028, 155673
ABRIK, 16, 64, 0.0328767, 210430
ABRIK, 16, 128, 1.71246e-05, 384891
ABRIK, 16, 256, 1.01431e-13, 729553
ABRIK, 16, 512, 9.33954e-14, 1487208
ABRIK, 16, 1024, 9.33853e-14, 2646226
ABRIK, 16, 2048, 9.36153e-14, 4860181
ABRIK, 16, 4096, 9.34539e-14, 9924831
ABRIK, 32, 32, 3.49959, 83935
ABRIK, 32, 64, 0.273992, 109362
ABRIK, 32, 128, 0.00545636, 200842
ABRIK, 32, 256, 2.47748e-07, 374005
ABRIK, 32, 512, 9.41163e-14, 724385
ABRIK, 32, 1024, 9.41828e-14, 1344930
ABRIK, 32, 2048, 9.43259e-14, 2863103
ABRIK, 32, 4096, 9.43596e-14, 6152463
Spectra, 0, 4, 1.07751, 996014
Spectra, 0, 8, 1.07751, 995923
Spectra, 0, 16, 1.07751, 987134
Spectra, 0, 32, 0.0639794, 1398269
Spectra, 0, 64, 2.28951e-10, 2752918
Spectra, 0, 128, 3.33646e-14, 4395569
Spectra, 0, 256, 3.20024e-14, 7157343
Spectra, 0, 512, 3.20024e-14, 7103917
Spectra, 0, 1024, 3.20024e-14, 7107002
Spectra, 0, 2048, 3.20024e-14, 7105281
Spectra, 0, 4096, 3.20024e-14, 7433082
RSVD, 32, 4, 0.259389, 96885
RSVD, 32, 8, 0.354259, 74454
RSVD, 32, 16, 0.81421, 69843
RSVD, 32, 32, 0.255266, 76125
RSVD, 32, 64, 0.0731041, 83995
RSVD, 32, 128, 0.0202152, 195243
RSVD, 32, 256, 0.00444128, 375687
RSVD, 32, 512, 0.00103694, 719574
RSVD, 32, 1024, 0.000280286, 1396512
RSVD, 32, 2048, 7.56812e-05, 2940304
RSVD, 32, 4096, 2.45061e-05, 6015172
GESDD, 0, 0, 1.19019e-13, 75011110
