# ABRIK Speed Comparison Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK/input_matrices/CurlCurl_0.mtx
# Input size: 11083 x 11083 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Run GESDD: no
# Write matrices: no
# Residual metric: sqrt(||S^{-1}AV - U||^2_F + ||(A'U)S^{-1} - V||^2_F)
# Timings in microseconds
algorithm, b_sz, num_matmuls, p, target_rank, error, duration_us
ABRIK, 4, 2, 0, 10, 0.853828, 108479
ABRIK, 4, 2, 0, 10, 0.853828, 80589
ABRIK, 4, 2, 0, 10, 0.853828, 84199
ABRIK, 4, 4, 0, 10, 0.986338, 120820
ABRIK, 4, 4, 0, 10, 0.986338, 128106
ABRIK, 4, 4, 0, 10, 0.986338, 176379
ABRIK, 4, 8, 0, 10, 0.521575, 224777
ABRIK, 4, 8, 0, 10, 0.521575, 232400
ABRIK, 4, 8, 0, 10, 0.521575, 224487
ABRIK, 4, 16, 0, 10, 0.0332415, 396880
ABRIK, 4, 16, 0, 10, 0.0332415, 527909
ABRIK, 4, 16, 0, 10, 0.0332415, 431219
ABRIK, 4, 32, 0, 10, 0.0171415, 903725
ABRIK, 4, 32, 0, 10, 0.0171415, 846066
ABRIK, 4, 32, 0, 10, 0.0171415, 935154
ABRIK, 8, 2, 0, 10, 1.24993, 77308
ABRIK, 8, 2, 0, 10, 1.24993, 76462
ABRIK, 8, 2, 0, 10, 1.24993, 84207
ABRIK, 8, 4, 0, 10, 0.758726, 145941
ABRIK, 8, 4, 0, 10, 0.758726, 136410
ABRIK, 8, 4, 0, 10, 0.758726, 231864
ABRIK, 8, 8, 0, 10, 0.167363, 226141
ABRIK, 8, 8, 0, 10, 0.167363, 241755
ABRIK, 8, 8, 0, 10, 0.167363, 245131
ABRIK, 8, 16, 0, 10, 0.0249107, 421408
ABRIK, 8, 16, 0, 10, 0.0249107, 515866
ABRIK, 8, 16, 0, 10, 0.0249107, 443589
ABRIK, 8, 32, 0, 10, 1.316e-11, 964925
ABRIK, 8, 32, 0, 10, 1.316e-11, 817976
ABRIK, 8, 32, 0, 10, 1.316e-11, 1058794
ABRIK, 16, 2, 0, 10, 1.18429, 77840
ABRIK, 16, 2, 0, 10, 1.18429, 85871
ABRIK, 16, 2, 0, 10, 1.18429, 77351
ABRIK, 16, 4, 0, 10, 0.257444, 142717
ABRIK, 16, 4, 0, 10, 0.257444, 126191
ABRIK, 16, 4, 0, 10, 0.257444, 125945
ABRIK, 16, 8, 0, 10, 0.0270648, 466169
ABRIK, 16, 8, 0, 10, 0.0270648, 237136
ABRIK, 16, 8, 0, 10, 0.0270648, 225665
ABRIK, 16, 16, 0, 10, 9.09257e-07, 469909
ABRIK, 16, 16, 0, 10, 9.09257e-07, 734826
ABRIK, 16, 16, 0, 10, 9.09257e-07, 505417
ABRIK, 16, 32, 0, 10, 1.36932e-14, 1385995
ABRIK, 16, 32, 0, 10, 1.36932e-14, 975839
ABRIK, 16, 32, 0, 10, 1.36932e-14, 1354029
ABRIK, 32, 2, 0, 10, 0.727661, 88220
ABRIK, 32, 2, 0, 10, 0.727661, 89906
ABRIK, 32, 2, 0, 10, 0.727661, 93847
ABRIK, 32, 4, 0, 10, 0.108399, 164637
ABRIK, 32, 4, 0, 10, 0.108399, 409195
ABRIK, 32, 4, 0, 10, 0.108399, 241548
ABRIK, 32, 8, 0, 10, 0.000559561, 280570
ABRIK, 32, 8, 0, 10, 0.000559561, 306274
ABRIK, 32, 8, 0, 10, 0.000559561, 313425
ABRIK, 32, 16, 0, 10, 2.1158e-11, 661158
ABRIK, 32, 16, 0, 10, 2.1158e-11, 614339
ABRIK, 32, 16, 0, 10, 2.1158e-11, 675704
ABRIK, 32, 32, 0, 10, 9.05159e-15, 1506195
ABRIK, 32, 32, 0, 10, 9.05159e-15, 1438470
ABRIK, 32, 32, 0, 10, 9.05159e-15, 1439087
SVDS, 0, 0, 0, 10, 9.10812e-13, 954148
SVDS, 0, 0, 0, 10, 9.10812e-13, 882889
SVDS, 0, 0, 0, 10, 9.10812e-13, 922999
