# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_4.mtx
# Input size: 2380515 x 2380515
# Format: sparse
# Target rank: 10
# Budget (total matvecs): 4096
# Block sizes: 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
method, b_sz, total_matvecs, err, elapsed_us
ABRIK, 4, 4, 1.477, 175313
ABRIK, 4, 8, 1.6296, 306734
ABRIK, 4, 16, 2.01211, 503648
ABRIK, 4, 32, 1.21927, 908726
ABRIK, 4, 64, 0.304243, 1694831
ABRIK, 4, 128, 0.0949462, 3509205
ABRIK, 4, 256, 0.0278664, 7336438
ABRIK, 4, 512, 0.00169921, 16850238
ABRIK, 4, 1024, 3.44651e-11, 45154936
ABRIK, 4, 2048, 8.88467e-15, 133439841
ABRIK, 4, 4096, 8.7857e-15, 445454686
ABRIK, 8, 8, 2.08863, 312752
ABRIK, 8, 16, 2.33026, 538661
ABRIK, 8, 32, 2.21793, 958752
ABRIK, 8, 64, 0.523947, 1747281
ABRIK, 8, 128, 0.1622, 3397391
ABRIK, 8, 256, 0.0504444, 6923701
ABRIK, 8, 512, 0.0105322, 14630040
ABRIK, 8, 1024, 1.5991e-06, 34484310
ABRIK, 8, 2048, 8.92508e-15, 91735890
ABRIK, 8, 4096, 8.91318e-15, 275726123
ABRIK, 16, 16, 2.96067, 688457
ABRIK, 16, 32, 2.61609, 1191167
ABRIK, 16, 64, 1.0538, 2145402
ABRIK, 16, 128, 0.302394, 4081406
ABRIK, 16, 256, 0.108029, 8022115
ABRIK, 16, 512, 0.032332, 16848892
ABRIK, 16, 1024, 0.000840732, 38133254
ABRIK, 16, 2048, 1.08616e-12, 88361298
ABRIK, 16, 4096, 9.41718e-15, 231023391
ABRIK, 32, 32, 3.33968, 2295373
ABRIK, 32, 64, 2.6327, 3711695
ABRIK, 32, 128, 1.01609, 6540097
ABRIK, 32, 256, 0.281141, 12157902
ABRIK, 32, 512, 0.0975728, 24073413
ABRIK, 32, 1024, 0.0118311, 50333062
ABRIK, 32, 2048, 9.28078e-07, 107873276
ABRIK, 32, 4096, 9.20798e-15, 248575657
Spectra, 0, 4, 1.71211, 776994
Spectra, 0, 8, 1.71211, 773766
Spectra, 0, 16, 1.71211, 786150
Spectra, 0, 32, 0.484941, 1357663
Spectra, 0, 64, 0.132174, 3645321
Spectra, 0, 128, 0.054921, 6662619
Spectra, 0, 256, 0.00925356, 16173084
Spectra, 0, 512, 0.000239699, 34035824
Spectra, 0, 1024, 8.66415e-11, 67928463
Spectra, 0, 2048, 1.91915e-14, 105734411
Spectra, 0, 4096, 1.91915e-14, 105051817
RSVD, 32, 4, 0.879145, 215036
RSVD, 32, 8, 1.26341, 257822
RSVD, 32, 16, 1.81934, 445432
RSVD, 32, 32, 2.00055, 1050358
RSVD, 32, 64, 1.9728, 1857418
RSVD, 32, 128, 1.94807, 2971004
RSVD, 32, 256, 1.92758, 5148005
RSVD, 32, 512, 1.87446, 10148451
RSVD, 32, 1024, 1.79854, 39002976
RSVD, 32, 2048, 1.68204, 75808267
RSVD, 32, 4096, 1.52665, 187950389
