# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat1.bin
# Input size: 10000 x 10000
# Format: dense
# Target rank: 10
# Budget (total matvecs): 4096
# Num runs: 10 (distinct RNG seeds 0..num_runs-1)
# Block sizes: 1, 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
# GESDD is deterministic and runs once (reported under run=0)
run, method, b_sz, total_matvecs, err, elapsed_us
1, Spectra, 0, 2, 1.07751, 602907
1, Spectra, 0, 4, 1.07751, 603179
1, Spectra, 0, 8, 1.07751, 603383
1, Spectra, 0, 16, 1.07751, 600799
1, Spectra, 0, 32, 0.0639794, 852477
1, Spectra, 0, 64, 2.28951e-10, 1655055
1, Spectra, 0, 128, 5.7612e-14, 2660665
1, Spectra, 0, 256, 5.68262e-14, 4316700
1, Spectra, 0, 512, 5.68262e-14, 4317326
1, Spectra, 0, 1024, 5.68262e-14, 4314881
1, Spectra, 0, 2048, 5.68262e-14, 4316837
1, Spectra, 0, 4096, 5.68262e-14, 4318734
1, RSVD, 32, 1, 0.565367, 136816
1, RSVD, 32, 2, 0.565367, 136673
1, RSVD, 32, 4, 0.292435, 191487
1, RSVD, 32, 8, 0.309537, 414309
1, RSVD, 32, 16, 0.441739, 572463
1, RSVD, 32, 32, 0.237549, 386517
1, RSVD, 32, 64, 0.0545001, 714619
1, RSVD, 32, 128, 0.0135818, 1913451
1, RSVD, 32, 256, 0.00334746, 2678409
1, RSVD, 32, 512, 0.000930499, 5305733
1, RSVD, 32, 1024, 0.000255578, 9513064
1, RSVD, 32, 2048, 6.55435e-05, 21638420
1, RSVD, 32, 4096, 1.77123e-05, 40266175
2, ABRIK, 1, 0, 1, 113892
2, ABRIK, 4, 4, 1.38709, 309660
2, ABRIK, 4, 8, 0.842553, 422436
2, ABRIK, 4, 16, 1.55733, 1068085
2, ABRIK, 4, 32, 0.316584, 2295009
2, ABRIK, 4, 64, 3.58149e-05, 4826189
2, ABRIK, 4, 128, 1.5131e-13, 9747224
2, ABRIK, 4, 256, 1.51673e-13, 19887091
2, ABRIK, 4, 512, 1.52127e-13, 39247875
2, ABRIK, 4, 1024, 1.51728e-13, 76210539
2, ABRIK, 4, 2048, 1.51695e-13, 150140072
2, ABRIK, 4, 4096, 1.51414e-13, 294706678
2, ABRIK, 8, 8, 3.95633, 315268
2, ABRIK, 8, 16, 1.49132, 764105
2, ABRIK, 8, 32, 0.501477, 1553671
2, ABRIK, 8, 64, 0.00546031, 3200545
2, ABRIK, 8, 128, 3.54976e-09, 6648847
2, ABRIK, 8, 256, 1.52431e-13, 13894340
2, ABRIK, 8, 512, 1.52114e-13, 27331928
2, ABRIK, 8, 1024, 1.5287e-13, 51983730
2, ABRIK, 8, 2048, 1.51969e-13, 102123683
2, ABRIK, 8, 4096, 1.52723e-13, 199251703
2, ABRIK, 16, 16, 5.89346, 228916
2, ABRIK, 16, 32, 0.737894, 550895
2, ABRIK, 16, 64, 0.0379144, 1237463
2, ABRIK, 16, 128, 1.67937e-05, 2604509
2, ABRIK, 16, 256, 1.70878e-13, 4843145
2, ABRIK, 16, 512, 1.68115e-13, 9166099
2, ABRIK, 16, 1024, 1.6813e-13, 16995164
2, ABRIK, 16, 2048, 1.68934e-13, 31141115
2, ABRIK, 16, 4096, 1.69239e-13, 60775732
2, ABRIK, 32, 32, 3.3037, 323103
2, ABRIK, 32, 64, 0.241253, 986520
2, ABRIK, 32, 128, 0.00382721, 2536849
2, ABRIK, 32, 256, 1.08511e-07, 4744322
2, ABRIK, 32, 512, 1.62968e-13, 7925781
2, ABRIK, 32, 1024, 1.63126e-13, 16993055
2, ABRIK, 32, 2048, 1.62761e-13, 31372055
2, ABRIK, 32, 4096, 1.63625e-13, 60457937
2, Spectra, 0, 1, 1.07751, 602098
2, Spectra, 0, 2, 1.07751, 604327
2, Spectra, 0, 4, 1.07751, 603993
2, Spectra, 0, 8, 1.07751, 603794
2, Spectra, 0, 16, 1.07751, 604073
2, Spectra, 0, 32, 0.0639794, 856101
2, Spectra, 0, 64, 2.28951e-10, 1662236
2, Spectra, 0, 128, 5.7612e-14, 2670706
2, Spectra, 0, 256, 5.68262e-14, 4347527
2, Spectra, 0, 512, 5.68262e-14, 4347835
2, Spectra, 0, 1024, 5.68262e-14, 4349913
2, Spectra, 0, 2048, 5.68262e-14, 4349430
2, Spectra, 0, 4096, 5.68262e-14, 4347602
2, RSVD, 32, 1, 0.0351323, 148949
2, RSVD, 32, 2, 0.0351323, 151050
2, RSVD, 32, 4, 0.158251, 174752
2, RSVD, 32, 8, 0.37006, 407808
2, RSVD, 32, 16, 0.694473, 574713
2, RSVD, 32, 32, 0.268424, 392507
2, RSVD, 32, 64, 0.0627015, 794655
2, RSVD, 32, 128, 0.0136564, 1814556
2, RSVD, 32, 256, 0.00351638, 2904083
2, RSVD, 32, 512, 0.000961572, 6339808
2, RSVD, 32, 1024, 0.000254283, 11153466
2, RSVD, 32, 2048, 7.2248e-05, 18485859
2, RSVD, 32, 4096, 2.25464e-05, 37930687
3, ABRIK, 1, 0, 1, 88835
3, ABRIK, 4, 4, 1.3195, 286865
3, ABRIK, 4, 8, 0.944748, 611920
3, ABRIK, 4, 16, 1.55617, 1285293
3, ABRIK, 4, 32, 0.301903, 2553813
