# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/10000x10000_rank_10000/ABRIK_test_mat6.txt
# Input size: 10000 x 10000
# Format: dense
# Block sizes: 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 458, 1380, 4634, 219, 669, 68225, 57234, 10838, 10035, 17, 46, 19762, 116283
4, 4, 1150, 988, 2072, 602, 354, 107283, 93175, 2787, 4823, 5, 14, 14176, 134254
4, 8, 2727, 1115, 3453, 1742, 536, 195235, 190409, 1708, 10585, 9, 37, 13999, 231146
4, 16, 3464, 1717, 5623, 3967, 1131, 377883, 392673, 2101, 25561, 21, 84, 14477, 436029
4, 32, 16022, 2859, 21421, 8862, 2126, 712472, 788742, 5785, 66728, 46, 231, 14748, 851300
4, 64, 10205, 7573, 23563, 31378, 4158, 1424803, 1567865, 3403, 104396, 134, 871, 14613, 1625097
8, 2, 1363, 932, 2366, 218, 303, 70457, 56411, 7780, 6788, 2, 6, 14961, 105176
8, 4, 3116, 953, 1299, 901, 474, 123500, 105831, 3455, 6902, 6, 13, 14744, 155363
8, 8, 2915, 1261, 11293, 1990, 988, 231678, 243732, 7841, 24808, 9, 41, 15248, 298072
8, 16, 5984, 2596, 17895, 5611, 1734, 413206, 454349, 3114, 39733, 18, 111, 15758, 505760
8, 32, 10168, 7530, 31611, 18213, 3461, 770176, 877493, 12102, 77561, 44, 435, 15572, 946873
8, 64, 17421, 27569, 67621, 69935, 7048, 1524826, 1817464, 5931, 172635, 94, 1705, 15775, 1910560
16, 2, 790, 1052, 4500, 325, 651, 86105, 68692, 4893, 4601, 3, 8, 14541, 117469
16, 4, 1189, 1420, 3607, 1262, 1076, 154489, 133095, 4415, 7072, 6, 16, 14891, 189443
16, 8, 6405, 3539, 11021, 4420, 1939, 284784, 288289, 4589, 14928, 13, 62, 14933, 346633
16, 16, 12390, 10536, 26946, 17373, 4681, 610443, 657887, 15920, 40897, 31, 259, 15693, 755169
16, 32, 20766, 33657, 53730, 57649, 9043, 1130164, 1295333, 7347, 79352, 53, 927, 15224, 1407912
16, 64, 66943, 100425, 84750, 227508, 17221, 2216358, 2646914, 3610, 129652, 131, 4044, 15352, 2865994
32, 2, 1790, 1704, 13697, 646, 3282, 154060, 115516, 3476, 8655, 3, 10, 15132, 202455
32, 4, 4347, 3656, 18518, 3079, 4346, 249418, 235992, 3035, 7615, 23, 30, 14702, 308769
32, 8, 15678, 9475, 33132, 11446, 7639, 450964, 481566, 5408, 24181, 38, 111, 15008, 573080
32, 16, 15025, 28104, 71890, 44772, 13829, 844389, 956245, 8738, 40588, 92, 464, 14565, 1082456
32, 32, 61451, 147838, 132302, 183182, 29343, 1552589, 1935688, 4704, 95790, 144, 2185, 15044, 2224572
32, 64, 134722, 391023, 260260, 709254, 56690, 3187532, 4334386, 5601, 153050, 353, 11765, 14525, 4924775
64, 2, 2971, 3091, 21151, 3304, 10111, 227540, 188470, 3792, 6568, 33, 27, 14644, 293232
64, 4, 11180, 11365, 32233, 10887, 13354, 373847, 361126, 5572, 14140, 62, 68, 14736, 487444
64, 8, 21627, 33669, 59081, 44890, 21976, 699663, 750612, 6098, 11092, 87, 340, 14555, 913078
64, 16, 42265, 95097, 123832, 176269, 49968, 1376035, 1696494, 5393, 50062, 230, 1446, 14385, 1934982
64, 32, 128100, 400331, 221841, 634161, 80732, 2523242, 3470736, 4049, 81890, 499, 6316, 14527, 4095688
64, 64, 232796, 2056191, 426678, 2515446, 168010, 5017752, 8273523, 3560, 181588, 1205, 40715, 14566, 10658507
128, 2, 6898, 11545, 29376, 11181, 19954, 425385, 326460, 5599, 5325, 28, 60, 14927, 530278
128, 4, 24687, 31201, 57858, 46276, 39138, 711858, 717843, 6131, 23469, 59, 193, 14759, 955629
128, 8, 32530, 107726, 91437, 172819, 68480, 1271955, 1470689, 5153, 15701, 117, 1026, 14240, 1781184
128, 16, 135325, 394055, 172323, 633885, 115883, 2418861, 3243764, 4265, 39230, 246, 4127, 14473, 3932673
128, 32, 233899, 2068766, 334553, 2345285, 223263, 4593684, 7452759, 5216, 79169, 935, 21831, 14979, 9921580
128, 64, 469182, 14110477, 649137, 8901939, 457033, 9161707, 19354136, 5432, 169271, 1977, 157447, 15316, 34098918
