# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_4.mtx
# Input size: 2380515 x 2380515
# Format: sparse
# Block sizes: 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 
# Runs per configuration: 1
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 2, 19795, 2294, 69914, 9969, 44165, 101092, 118172, 43385, 6944, 40, 65, 57096, 354759
4, 4, 38548, 3142, 98098, 26621, 14066, 156775, 237607, 43106, 14152, 5, 19, 1081, 395613
4, 8, 73436, 9437, 189179, 112642, 28891, 279852, 573002, 42986, 28576, 9, 40, 1120, 766168
4, 16, 143492, 18264, 342525, 231288, 19431, 563588, 1193902, 49887, 106042, 23, 98, 1205, 1475843
4, 32, 281038, 40242, 660395, 494194, 26612, 998807, 2227514, 43126, 114043, 44, 245, 1213, 2659959
4, 64, 557936, 57807, 1274398, 1410419, 58380, 1983686, 4878416, 43578, 227273, 94, 869, 1314, 5615754
4, 128, 1142946, 375031, 2520613, 5115270, 135277, 3878152, 12024837, 43405, 457127, 188, 3241, 1600, 13672850
4, 256, 2324653, 965101, 5091582, 20707808, 259951, 7738642, 34686040, 43536, 944562, 371, 15240, 2023, 38093469
4, 512, 4634729, 2932615, 10078155, 85253746, 352061, 15498952, 113110420, 43513, 1899458, 743, 87705, 2978, 120784655
