# ABRIK Runtime Breakdown Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 226451 x 226451 (submatrix ratio: 1)
# Target rank: 10
# Krylov block sizes: 32, 
# Matmul counts: 8, 16, 32, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
32, 8, 347632, 101898, 1174804, 226327, 148423, 422865, 1766372, 33369, 7231, 87, 236, 7189, 2470061
32, 8, 285227, 113827, 1150778, 231689, 147283, 349648, 1707370, 26618, 17438, 69, 186, 677, 2323440
32, 8, 255882, 101408, 1155698, 218510, 145440, 365591, 1694142, 32825, 8500, 64, 186, 641, 2284745
32, 16, 675404, 336563, 2155395, 798088, 260921, 778512, 3834294, 23565, 23320, 127, 681, 742, 5053318
32, 16, 666470, 331477, 2399410, 821808, 271746, 924478, 4246868, 31181, 20758, 239, 725, 763, 5469055
32, 16, 682571, 346373, 2193847, 807415, 266232, 776149, 3886355, 37200, 23038, 146, 726, 2386, 5136083
32, 32, 1287694, 1309842, 4639561, 3358479, 626697, 1830147, 10343112, 31401, 71862, 399, 3418, 847, 13160347
32, 32, 1655669, 1323836, 4763110, 3388923, 637511, 1824919, 10496947, 35188, 82694, 949, 3612, 2131, 13718542
32, 32, 1271373, 1334946, 4477213, 3243272, 592376, 1735815, 9907252, 30374, 68211, 279, 3078, 1285, 12758222
