# ABRIK Runtime Breakdown Benchmark (Sparse)
# Precision: double
# Input matrix: /home/mymel/data/ABRIK_benchmark/input_matrices/CurlCurl_1.mtx
# Input size: 113225 x 113225 (submatrix ratio: 0.5)
# Target rank: 10
# Krylov block sizes: 32, 
# Matmul counts: 8, 16, 32, 
# Runs per configuration: 3
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
32, 8, 157177, 74897, 0, 116976, 194523, 241054, 497063, 15035, 0, 0, 169, 16130, 815961
32, 8, 104251, 56650, 0, 112409, 195959, 174452, 444590, 16464, 0, 0, 150, 587, 660922
32, 8, 156410, 67443, 0, 111634, 213758, 188026, 476640, 19507, 0, 0, 146, 544, 757468
32, 16, 312865, 171899, 0, 444875, 415944, 344593, 1168926, 12880, 0, 0, 600, 432, 1704088
32, 16, 202445, 180814, 0, 410965, 402545, 324618, 1096381, 18941, 0, 0, 531, 523, 1541382
32, 16, 312666, 192203, 0, 429896, 417567, 403932, 1210357, 19098, 0, 0, 590, 574, 1776526
32, 32, 626061, 598927, 0, 1644768, 819935, 830241, 3261824, 18197, 0, 0, 3044, 649, 4541822
32, 32, 673966, 647384, 0, 1662723, 901611, 845881, 3372185, 20558, 0, 0, 2740, 502, 4755365
32, 32, 743585, 612632, 0, 1798545, 977329, 954584, 3681223, 21809, 0, 0, 3281, 2471, 5114236
